DATE(MODE),DATE(MEAN),AUTHOR,PATH
2008-08-08,2008-11-18,jim,.gitattributes
2017-11-10,2017-11-29,assafgordon,.github/ISSUE_TEMPLATE.txt
2017-11-10,2017-11-26,assafgordon,.github/PULL_REQUEST_TEMPLATE.txt
2011-11-23,2012-06-27,jim,.gitignore
2009-03-07,2009-03-07,jim,.gitmodules
2008-11-17,2011-01-17,jim,.mailmap
2021-09-24,2021-09-24,P,.prev-version
2006-10-14,2006-05-31,jim,.vg-suppressions
2015-01-02,2016-03-15,mail,.x-update-copyright
2004-09-23,2006-10-11,jim,AUTHORS
2007-07-23,2006-06-11,jim,COPYING
2008-03-18,2009-05-21,jim,HACKING
2014-06-06,2010-12-13,jim,Makefile.am
2003-02-07,2010-07-01,jim,NEWS
2002-08-04,2007-12-28,jim,README
2006-08-21,2012-05-27,eggert,README-hacking
2017-01-15,2012-04-19,eggert,README-package-renamed-to-coreutils
2021-10-31,2018-01-08,eggert,README-prereq
2009-03-02,2011-04-19,jim,README-release
2010-11-24,2007-01-28,jim,README-valgrind
2000-02-16,2004-04-29,jim,THANKS.in
2002-08-26,2002-08-26,jim,THANKStt.in
2003-08-02,2006-05-19,jim,TODO
2006-08-21,2011-02-11,jim,bootstrap
2009-04-10,2011-01-18,jim,bootstrap.conf
2012-09-01,2012-10-28,stefano.lattarini,build-aux/gen-lists-of-programs.sh
2014-06-06,2015-08-02,deymo,build-aux/gen-single-binary.sh
2008-04-01,2008-04-01,jim,build-aux/git-log-fix
2008-12-27,2013-01-31,jim,cfg.mk
2002-07-01,2012-01-01,jim,configure.ac
2009-04-25,2009-10-25,jim,dist-check.mk
2010-10-17,2011-12-21,jim,doc/.gitignore
2001-06-16,2006-11-04,jim,doc/coreutils.texi
2020-05-26,2020-05-27,mail,doc/fdl.texi
2007-12-31,2008-08-27,jim,doc/local.mk
1994-10-15,2000-11-09,jim,doc/perm.texi
2019-07-10,2020-03-26,assafgordon,doc/sort-version.texi
2005-11-24,2006-07-20,eggert,gl/lib/buffer-lcm.c
2005-11-24,2008-08-29,eggert,gl/lib/buffer-lcm.h
2019-01-27,2019-02-10,eggert,gl/lib/cl-strtod.c
2021-11-01,2021-11-01,eggert,gl/lib/cl-strtod.h
2019-01-27,2019-01-27,eggert,gl/lib/cl-strtold.c
2010-07-14,2011-06-11,P,gl/lib/fadvise.c
2010-07-14,2010-11-24,P,gl/lib/fadvise.h
2005-07-03,2006-07-16,eggert,gl/lib/fd-reopen.c
2005-07-03,2007-10-31,eggert,gl/lib/fd-reopen.h
2010-07-09,2010-09-02,chen.guo.0625,gl/lib/heap.c
2010-07-09,2014-08-22,chen.guo.0625,gl/lib/heap.h
2009-03-25,2009-12-29,P,gl/lib/mbsalign.c
2012-09-04,2012-05-19,P,gl/lib/mbsalign.h
2010-07-24,2009-07-26,eggert,gl/lib/rand-isaac.c
2010-07-24,2009-10-12,eggert,gl/lib/rand-isaac.h
2006-08-09,2006-12-16,eggert,gl/lib/randint.c
2006-08-09,2009-12-30,eggert,gl/lib/randint.h
2011-05-14,2010-06-08,P,gl/lib/randperm.c
2021-11-01,2015-01-02,eggert,gl/lib/randperm.h
2006-08-09,2008-08-24,eggert,gl/lib/randread.c
2006-08-09,2011-02-08,eggert,gl/lib/randread.h
2003-11-10,2005-08-13,jim,gl/lib/root-dev-ino.c
2003-11-10,2006-06-05,jim,gl/lib/root-dev-ino.h
2013-07-02,2013-12-12,P,gl/lib/smack.h
2005-05-28,2007-11-29,eggert,gl/lib/strintcmp.c
2005-05-28,2005-10-12,eggert,gl/lib/strnumcmp-in.h
2005-05-28,2007-02-05,eggert,gl/lib/strnumcmp.c
2021-11-01,2021-11-01,eggert,gl/lib/strnumcmp.h
2022-04-13,2022-04-13,eggert,gl/lib/targetdir.c
2022-04-13,2022-04-13,eggert,gl/lib/targetdir.h
2014-12-16,2014-12-16,P,gl/lib/xdectoimax.c
2014-12-16,2015-08-05,P,gl/lib/xdectoint.c
2014-12-16,2016-04-10,P,gl/lib/xdectoint.h
