DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
1992-01-05	1990-10-14	Guido van Rossum	Include/bitset.h
1992-03-02	1992-03-02	Guido van Rossum	Tools/scripts/dutree.doc
1994-01-15	1991-06-04	Guido van Rossum	Tools/scripts/pdeps.py
1994-01-18	1991-06-04	Guido van Rossum	Tools/scripts/mkreal.py
1994-03-18	1990-10-14	Guido van Rossum	Include/grammar.h
1994-09-09	1990-10-14	Guido van Rossum	Parser/acceler.c
1994-09-25	1993-12-24	Guido van Rossum	Python/dup2.c
1994-10-19	1991-07-01	Guido van Rossum	Tools/scripts/byteyears.py
1995-04-25	1993-07-28	Guido van Rossum	Include/errcode.h
1995-06-06	1991-12-18	Guido van Rossum	Tools/scripts/copytime.py
1995-08-28	1994-09-12	Guido van Rossum	Lib/tty.py
1995-09-04	1994-10-05	Guido van Rossum	Tools/freeze/checkextensions.py
1995-09-08	1991-06-04	Guido van Rossum	Tools/scripts/objgraph.py
1995-09-15	1994-05-09	Guido van Rossum	Tools/scripts/ifdef.py
1995-12-11	1992-03-02	Guido van Rossum	Tools/scripts/dutree.py
1995-12-13	1992-03-02	Guido van Rossum	Tools/scripts/linktree.py
1996-03-18	1991-06-04	Guido van Rossum	Tools/scripts/which.py
1996-05-15	1995-08-04	Guido van Rossum	Python/getplatform.c
1996-09-13	1992-10-18	Guido van Rossum	Lib/pipes.py
1996-11-13	1993-06-10	Guido van Rossum	Tools/scripts/fixcid.py
1996-12-10	1990-10-14	Guido van Rossum	Parser/parser.c
1997-01-03	1994-01-21	Guido van Rossum	Tools/scripts/findlinksto.py
1997-01-06	1991-06-04	Guido van Rossum	Tools/scripts/ptags.py
1997-01-30	1995-08-04	Guido van Rossum	Python/getversion.c
1997-03-04	1994-10-03	Guido van Rossum	Tools/freeze/parsesetup.py
1997-04-19	1990-10-14	Guido van Rossum	Parser/grammar1.c
1997-04-28	1995-09-07	Guido van Rossum	Lib/tkinter/constants.py
1997-06-28	1996-08-08	Guido van Rossum	Modules/makexp_aix
1997-07-01	1992-03-02	Guido van Rossum	Tools/scripts/lll.py
1997-07-27	1995-08-07	Guido van Rossum	Lib/formatter.py
1997-08-30	1994-08-01	Guido van Rossum	Modules/makesetup
1997-09-03	1994-10-03	Guido van Rossum	Tools/freeze/makemakefile.py
1997-09-25	1996-06-28	Guido van Rossum	PC/readme.txt
1997-10-10	1994-06-28	Guido van Rossum	Tools/demo/hanoi.py
1997-11-06	1997-11-06	Guido van Rossum	Lib/test/__init__.py
1997-12-21	1995-03-15	Guido van Rossum	Tools/scripts/texi2html.py
1998-01-01	1994-10-03	Guido van Rossum	Tools/freeze/makeconfig.py
1998-02-08	1992-05-27	Guido van Rossum	Lib/imghdr.py
1998-02-26	1996-10-21	Guido van Rossum	Modules/ld_so_aix.in
1998-04-07	1992-08-12	Guido van Rossum	Modules/nismodule.c
1998-04-16	1990-12-20	Guido van Rossum	Include/structmember.h
1998-05-25	1996-08-29	Guido van Rossum	Python/strdup.c
1998-06-12	1994-06-27	Guido van Rossum	Lib/tkinter/dialog.py
1998-06-25	1990-10-14	Guido van Rossum	Parser/listnode.c
1998-07-02	1997-07-15	Guido van Rossum	Lib/test/re_tests.py
1998-07-04	1998-05-19	Guido van Rossum	Tools/freeze/win32.html
1998-08-05	1998-03-20	Guido van Rossum	PC/frozen_dllmain.c
1998-09-10	1994-05-15	Guido van Rossum	Tools/scripts/pindent.py
1998-09-17	1994-10-03	Guido van Rossum	Tools/freeze/makefreeze.py
1998-10-06	1998-10-06	Barry Warsaw	Tools/pynche/X/rgb.txt
1998-10-06	1998-10-06	Barry Warsaw	Tools/pynche/X/xlicense.txt
1998-10-07	1998-10-07	Barry Warsaw	Tools/pynche/pynche
1998-10-07	1998-10-07	Barry Warsaw	Tools/pynche/pynche.pyw
1998-10-10	2001-01-03	Guido van Rossum	Tools/freeze/README
1998-10-15	1997-04-03	Guido van Rossum	Tools/demo/sortvisu.py
1998-11-02	1998-02-12	Barry Warsaw	Tools/pynche/StripViewer.py
1998-11-04	1998-04-10	Guido van Rossum	Lib/tkinter/dnd.py
1998-11-15	1998-10-01	Barry Warsaw	Tools/pynche/ListViewer.py
1998-12-04	1998-10-05	Barry Warsaw	Tools/pynche/DetailsViewer.py
1998-12-21	1993-01-22	Sjoerd Mullender	Lib/aifc.py
1998-12-28	1998-10-01	Barry Warsaw	Tools/pynche/TextViewer.py
1998-12-30	1996-08-21	Guido van Rossum	PC/dl_nt.c
1998-12-30	2000-09-01	Guido van Rossum	Tools/scripts/eptags.py
1999-01-09	1993-10-26	Guido van Rossum	Include/rangeobject.h
1999-01-12	1994-10-03	Guido van Rossum	Tools/freeze/freeze.py
1999-01-20	1993-12-13	Sjoerd Mullender	Lib/sunau.py
1999-02-19	1990-10-14	Guido van Rossum	Include/node.h
1999-03-07	1998-10-22	Barry Warsaw	Tools/pynche/README
1999-03-09	1992-12-09	Guido van Rossum	Tools/scripts/fixps.py
1999-04-05	1998-05-19	Guido van Rossum	Tools/freeze/checkextensions_win32.py
1999-04-09	1990-10-14	Guido van Rossum	Parser/parser.h
1999-04-10	1999-04-10	Guido van Rossum	Tools/pynche/__init__.py
1999-04-14	1998-10-22	Barry Warsaw	Tools/pynche/pyColorChooser.py
1999-04-26	1999-04-26	Barry Warsaw	Tools/pynche/html40colors.txt
1999-04-26	1999-04-26	Barry Warsaw	Tools/pynche/namedcolors.txt
1999-04-26	1999-04-26	Barry Warsaw	Tools/pynche/webcolors.txt
1999-04-26	1999-04-26	Barry Warsaw	Tools/pynche/websafe.txt
1999-05-30	1998-10-09	Guido van Rossum	Tools/scripts/mailerdaemon.py
1999-06-26	1997-11-07	Guido van Rossum	Misc/vgrindefs
1999-06-27	1998-09-29	Barry Warsaw	Tools/pynche/ChipViewer.py
1999-07-02	1998-01-31	Barry Warsaw	Tools/pynche/Main.py
1999-07-23	1995-08-07	Jack Jansen	Lib/binhex.py
1999-08-01	1998-01-31	Barry Warsaw	Tools/pynche/ColorDB.py
1999-08-01	1998-10-20	Barry Warsaw	Tools/pynche/Switchboard.py
1999-09-06	1995-09-30	Guido van Rossum	Lib/mailcap.py
1999-09-11	1996-08-19	Guido van Rossum	Lib/xdrlib.py
1999-09-15	2001-07-10	Barry Warsaw	Tools/pynche/TypeinViewer.py
1999-10-15	1993-07-28	Guido van Rossum	Include/marshal.h
1999-11-30	1999-03-28	Guido van Rossum	Tools/scripts/ndiff.py
1999-12-06	1991-06-04	Guido van Rossum	Tools/scripts/suff.py
1999-12-14	1998-08-10	Guido van Rossum	Tools/scripts/nm2def.py
2000-01-08	1999-04-27	Barry Warsaw	Tools/pynche/PyncheWidget.py
2000-01-14	1998-03-31	Guido van Rossum	Lib/tabnanny.py
2000-01-26	1998-05-19	Guido van Rossum	Tools/freeze/extensions_win32.ini
2000-02-03	1994-01-14	Guido van Rossum	Lib/sndhdr.py
2000-03-03	1997-10-27	Guido van Rossum	Lib/test/tokenize_tests.txt
2000-03-13	1994-02-15	Guido van Rossum	Lib/wave.py
2000-03-31	2000-03-31	Guido van Rossum	Lib/site-packages/README.txt
2000-04-07	1999-12-20	Guido van Rossum	Python/importdl.h
2000-04-11	1994-09-12	Guido van Rossum	Lib/pty.py
2000-04-11	1996-06-28	Guido van Rossum	PC/testpy.py
2000-05-01	1997-07-19	Guido van Rossum	Lib/tkinter/commondialog.py
2000-05-14	2000-05-13	Gregory P. Smith	Lib/distutils/command/command_template
2000-06-25	2002-06-06	Guido van Rossum	Lib/getopt.py
2000-06-29	2000-06-29	Fred Drake	Lib/xml/parsers/__init__.py
2000-07-05	1999-01-13	Greg Ward	Lib/distutils/text_file.py
2000-07-22	2000-03-18	Greg Ward	Lib/distutils/command/clean.py
2000-08-11	1999-06-09	Guido van Rossum	Lib/chunk.py
2000-08-26	1995-08-04	Guido van Rossum	Python/getcopyright.c
2000-08-26	2000-05-27	Greg Ward	Lib/distutils/command/install_headers.py
2000-09-08	1998-07-17	Guido van Rossum	Lib/test/reperf.py
2000-09-11	2000-05-25	Greg Ward	Lib/distutils/command/install_data.py
2000-09-18	2000-06-29	Fred Drake	Lib/xml/sax/handler.py
2000-09-18	2001-07-28	Guido van Rossum	Lib/cmd.py
