DATE(MODE),DATE(MEAN),AUTHOR,PATH
2020-05-29,2021-04-30,info,.azure-pipelines.yml
2021-06-11,2021-11-27,daniel,.circleci/config.yml
2023-03-11,2021-12-18,dan,.cirrus.yml
2022-05-17,2021-08-28,daniel,.dcignore
2020-03-24,2019-03-04,daniel,.dir-locals.el
2022-06-03,2022-07-08,max.mehl,.git-blame-ignore-revs
2021-01-13,2018-05-06,raysatiro,.gitattributes
2022-09-15,2022-10-21,info,.github/CODEOWNERS
2015-03-03,2017-04-07,daniel,.github/CONTRIBUTING.md
2022-05-17,2021-10-22,max.mehl,.github/FUNDING.yml
2020-09-08,2018-10-03,daniel,.github/ISSUE_TEMPLATE/bug_report.md
2020-09-08,2021-03-18,me,.github/ISSUE_TEMPLATE/config.yml
2023-01-21,2023-01-30,dan,.github/labeler.yml
2018-05-05,2019-09-28,daniel,.github/lock.yml
2022-09-21,2022-09-22,daniel,.github/scripts/cleanspell.pl
2022-09-21,2022-09-24,daniel,.github/scripts/spellcheck.words
2022-09-21,2022-09-24,daniel,.github/scripts/spellcheck.yaml
2017-04-07,2018-04-09,daniel,.github/stale.yml
2022-10-18,2022-10-21,info,.github/workflows/appveyor-status.yml
2023-01-19,2023-02-10,jaseking,.github/workflows/awslc.yml
2020-06-26,2021-09-05,daniel,.github/workflows/codeql-analysis.yml
2023-03-11,2022-05-27,dan,.github/workflows/fuzz.yml
2021-10-24,2022-01-21,info,.github/workflows/hacktoberfest-accepted.yml
2023-01-21,2023-01-22,dan,.github/workflows/label.yml
2021-12-17,2022-04-18,daniel,.github/workflows/linkcheck.yml
2022-09-16,2022-09-26,info,.github/workflows/linux.yml
2020-03-25,2021-06-03,info,.github/workflows/macos.yml
2022-08-17,2022-11-12,daniel,.github/workflows/ngtcp2-gnutls.yml
2022-11-30,2023-01-06,stefan,.github/workflows/ngtcp2-quictls.yml
2022-08-15,2022-11-17,daniel,.github/workflows/ngtcp2-wolfssl.yml
2022-09-20,2022-09-23,daniel,.github/workflows/proselint.yml
