DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
1988-10-07	1987-01-07	Richard M. Stallman	lisp/obsolete/vi.el
1990-03-20	1988-02-11	Richard M. Stallman	lisp/obsolete/vip.el
1991-03-27	1986-09-18	Richard M. Stallman	lisp/obsolete/mailpost.el
1991-11-25	1989-10-31	Joseph Arceneaux	lisp/textmodes/refbib.el
1991-12-25	1989-10-31	Joseph Arceneaux	lisp/emacs-lisp/helper.el
1992-01-25	1989-10-31	Jim Blandy	lisp/obsolete/sup-mouse.el
1992-06-22	1989-10-31	Joseph Arceneaux	lisp/play/dissociate.el
1992-09-02	1990-01-17	Richard M. Stallman	lisp/mail/rfc822.el
1992-10-12	1989-10-31	Joseph Arceneaux	lisp/obsolete/ledit.el
1992-10-14	1986-09-12	Jim Blandy	lisp/play/studly.el
1992-10-31	1991-01-11	root	lisp/obsolete/terminal.el
1993-01-23	1989-10-31	Joseph Arceneaux	lisp/progmodes/icon.el
1993-02-07	1991-02-23	Richard M. Stallman	lisp/reposition.el
1993-02-22	1989-12-11	root	lisp/kermit.el
1993-12-30	1989-10-31	Joseph Arceneaux	lisp/textmodes/underline.el
1994-03-07	1994-03-24	Daniel LaLiberte	lisp/obsolete/cust-print.el
1994-06-05	1991-01-30	Jim Blandy	lisp/array.el
1994-07-07	1991-05-09	Jim Blandy	lisp/informat.el
1994-07-30	1989-10-31	Joseph Arceneaux	lisp/play/gomoku.el
1994-08-01	1990-03-06	Joseph Arceneaux	lisp/play/life.el
1994-08-02	1991-02-04	Jim Blandy	lisp/textmodes/bib-mode.el
1994-08-22	1991-05-20	Brian Preble	etc/forms/forms-pass.el
1994-10-12	1993-03-17	Eric S. Raymond	lisp/obsolete/lmenu.el
1994-11-04	1991-05-20	Richard M. Stallman	lisp/forms.el
1994-12-16	1991-02-07	Richard M. Stallman	lisp/textmodes/texinfmt.el
1994-12-28	1990-10-20	Robert J. Chassell	lisp/textmodes/texnfo-upd.el
1994-12-29	1992-03-16	Jim Blandy	lisp/vt100-led.el
1995-01-26	1992-07-16	Eric S. Raymond	lisp/progmodes/simula.el
1995-02-28	1991-12-21	Jim Blandy	lisp/play/blackbox.el
1995-03-21	1992-03-16	Jim Blandy	lisp/vc/emerge.el
1995-04-29	1993-03-07	Richard M. Stallman	lisp/obsolete/levents.el
1995-04-30	1989-10-31	Joseph Arceneaux	lisp/makesum.el
1995-06-05	1990-04-05	Richard M. Stallman	lisp/completion.el
1995-06-14	1989-10-31	Joseph Arceneaux	lisp/play/spook.el
1995-06-22	1993-01-06	Richard M. Stallman	lisp/hippie-exp.el
1995-06-28	1991-01-28	Jim Blandy	lisp/obsolete/abbrevlist.el
1995-07-16	1994-01-08	Richard M. Stallman	lisp/flow-ctrl.el
1995-08-02	1994-01-18	Richard M. Stallman	src/widgetprv.h
1995-09-14	1991-01-29	Richard M. Stallman	src/unexcoff.c
1995-10-07	1993-08-02	Richard M. Stallman	lisp/vt-control.el
1995-11-03	1994-03-16	Richard M. Stallman	lisp/foldout.el
1995-12-04	1993-07-30	Richard M. Stallman	lisp/obsolete/cl-compat.el
1995-12-09	1989-10-31	Joseph Arceneaux	lisp/ehelp.el
1996-01-15	1995-04-12	Karl Heuer	nt/inc/sys/param.h
1996-01-17	1994-04-24	Richard M. Stallman	lisp/mail/mail-extr.el
1996-01-19	1996-01-19	Geoff Voelker	etc/rgb.txt
1996-01-27	1994-03-06	Richard M. Stallman	lisp/obsolete/s-region.el
1996-02-01	1994-05-02	Richard M. Stallman	lisp/mail/mail-hist.el
1996-02-22	1992-02-22	Jim Blandy	src/unexaix.c
1996-03-23	1994-02-07	Richard M. Stallman	lisp/progmodes/cmacexp.el
1996-04-25	1993-05-19	Richard M. Stallman	lisp/timezone.el
1996-05-02	1994-01-18	Richard M. Stallman	src/widget.h
1996-05-23	1992-01-13	Jim Blandy	src/cm.c
1996-06-05	1993-03-11	Eric S. Raymond	lisp/term/news.el
1996-06-11	1991-08-27	Jim Blandy	lisp/chistory.el
1996-06-26	1991-05-17	Richard M. Stallman	lisp/macros.el
1996-07-11	1993-10-13	Richard M. Stallman	lisp/mail/supercite.el
1996-07-14	1991-05-13	Jim Blandy	lisp/progmodes/inf-lisp.el
1996-09-03	1995-04-12	Karl Heuer	nt/inc/sys/ioctl.h
1996-09-11	1995-07-07	Karl Heuer	lisp/textmodes/two-column.el
1996-09-15	1994-07-18	Richard M. Stallman	lisp/mail/reporter.el
1996-10-12	1989-10-31	Joseph Arceneaux	lisp/textmodes/page.el
1996-10-12	1994-01-18	Richard M. Stallman	lwlib/lwlib-Xm.c
1996-10-19	1990-01-31	Richard M. Stallman	lisp/obsolete/yow.el
1996-10-19	1994-01-18	Richard M. Stallman	lwlib/lwlib.c
1996-10-29	1993-06-21	Richard M. Stallman	lisp/textmodes/makeinfo.el
1996-11-10	1994-05-02	Richard M. Stallman	lisp/tempo.el
1996-11-26	1994-02-18	Richard M. Stallman	lisp/soundex.el
1996-12-31	1993-07-16	Roland McGrath	lisp/emacs-lisp/advice.el
1997-02-27	1993-04-23	Eric S. Raymond	lisp/obsolete/assoc.el
1997-03-11	1993-08-02	Richard M. Stallman	lisp/obsolete/tpu-edt.el
1997-03-12	1995-02-20	Karl Heuer	lisp/emulation/viper-macs.el
1997-04-04	1993-08-02	Richard M. Stallman	lisp/obsolete/tpu-mapper.el
1997-04-06	1995-01-20	Richard M. Stallman	lisp/find-file.el
1997-04-07	1994-05-22	Richard M. Stallman	lisp/textmodes/refer.el
1997-04-10	1993-08-02	Richard M. Stallman	lisp/obsolete/tpu-extras.el
1997-04-19	1991-04-10	Jim Blandy	lisp/textmodes/page-ext.el
1997-04-23	1993-09-10	Roland McGrath	src/tparam.c
1997-04-30	1993-04-23	Richard M. Stallman	lisp/obsolete/lucid.el
1997-05-25	1995-02-08	Karl Heuer	lisp/emulation/edt-pc.el
