DATE(MODE),DATE(MEAN),AUTHOR,PATH
2017-09-19,2017-12-18,phst,.clang-format
2019-04-09,2019-06-29,yamaoka,.dir-locals.el
2016-03-14,2016-01-05,eggert,.gitattributes
2014-11-18,2015-09-03,eggert,.gitignore
2017-04-27,2017-11-27,tzz,.gitlab-ci.yml
2010-12-04,2011-08-21,yamaoka,BUGS
2016-02-15,2016-03-12,eggert,CONTRIBUTE
2007-07-25,2007-02-06,rgm,COPYING
2010-12-04,2011-10-23,yamaoka,ChangeLog.1
2016-01-31,2015-12-19,rgm,ChangeLog.2
2021-11-30,2020-02-26,eggert,ChangeLog.3
2011-07-28,2014-09-12,eggert,GNUmakefile
2010-12-04,2013-05-12,yamaoka,INSTALL
2017-05-07,2012-08-26,rgm,INSTALL.REPO
2010-12-04,2014-02-07,rgm,Makefile.in
2010-12-04,2013-02-08,yamaoka,README
2012-08-15,2011-01-13,rgm,admin/CPP-DEFINES
2008-02-02,2011-01-17,rgm,admin/ChangeLog.1
2007-10-23,2014-04-01,rgm,admin/MAINTAINERS
2006-07-09,2008-10-30,storm,admin/README
2011-03-13,2013-08-07,rgm,admin/admin.el
2001-10-17,2002-08-28,gerd,admin/alloc-colors.c
2014-01-17,2012-01-01,rgm,admin/authors.el
2018-01-19,2018-02-10,rgm,admin/automerge
2001-08-17,2002-10-09,gerd,admin/build-configs
2015-05-22,2015-09-08,rgm,admin/charsets/Makefile.in
2003-09-08,2005-02-01,handa,admin/charsets/big5.awk
2003-09-08,2004-04-09,handa,admin/charsets/compact.awk
2004-01-27,2007-05-17,handa,admin/charsets/cp51932.awk
2004-01-26,2004-09-22,handa,admin/charsets/cp932.awk
2009-06-12,2008-12-02,handa,admin/charsets/eucjp-ms.awk
2003-09-08,2005-08-06,handa,admin/charsets/gb180302.awk
2003-09-08,2004-08-06,handa,admin/charsets/gb180304.awk
2015-05-24,2015-05-24,rgm,admin/charsets/glibc/README
2003-09-08,2003-10-16,handa,admin/charsets/kuten.awk
2003-09-08,2007-08-12,handa,admin/charsets/mapconv
2011-08-13,2011-09-25,cyd,admin/charsets/mapfiles/CP720.map
2011-08-13,2011-09-10,cyd,admin/charsets/mapfiles/CP858.map
2011-08-13,2011-08-13,cyd,admin/charsets/mapfiles/CP932.TXT
2011-08-13,2011-08-13,cyd,admin/charsets/mapfiles/JISX213A.map
2011-08-13,2011-08-14,cyd,admin/charsets/mapfiles/MULE-ethiopic.map
2011-08-13,2011-08-19,cyd,admin/charsets/mapfiles/MULE-ipa.map
2011-08-13,2011-08-18,cyd,admin/charsets/mapfiles/MULE-is13194.map
2011-08-13,2011-08-19,cyd,admin/charsets/mapfiles/MULE-lviscii.map
