DATE(MODE),DATE(MEAN),AUTHOR,PATH
2019-12-20,2020-08-08,emaste,.cirrus.yml
2017-08-15,2017-10-16,bwilliams.eng,.clang-format
2018-10-09,2018-11-06,sandals,.editorconfig
2017-05-09,2017-10-16,Johannes.Schindelin,.gitattributes
2017-06-13,2017-12-08,larsxschneider,.github/CONTRIBUTING.md
2017-06-13,2017-12-12,larsxschneider,.github/PULL_REQUEST_TEMPLATE.md
2020-09-22,2020-10-30,chris,.github/workflows/check-whitespace.yml
2021-09-09,2021-09-18,zhiyou.jx,.github/workflows/l10n.yml
2020-04-11,2020-11-29,Johannes.Schindelin,.github/workflows/main.yml
2009-10-27,2011-11-09,peff,.gitignore
2017-07-02,2017-07-02,avarab,.gitmodules
2013-07-13,2013-07-15,stefanbeller,.mailmap
2017-08-22,2018-07-17,martin.agren,.tsan-suppressions
2020-12-29,2020-08-26,avarab,CODE_OF_CONDUCT.md
2005-04-12,2005-06-09,torvalds,COPYING
2008-02-11,2008-02-11,gitster,Documentation/.gitattributes
2005-08-26,2011-02-22,gitster,Documentation/.gitignore
2007-11-08,2014-11-07,gitster,Documentation/CodingGuidelines
2021-10-15,2013-11-19,gitster,Documentation/Makefile
2019-05-18,2019-10-10,emilyshaffer,Documentation/MyFirstContribution.txt
2019-10-12,2019-11-17,emilyshaffer,Documentation/MyFirstObjectWalk.txt
2007-02-15,2007-02-17,gitster,Documentation/RelNotes/1.5.0.1.txt
2007-02-26,2007-02-26,gitster,Documentation/RelNotes/1.5.0.2.txt
2007-03-01,2007-03-02,gitster,Documentation/RelNotes/1.5.0.3.txt
2007-03-15,2007-03-15,gitster,Documentation/RelNotes/1.5.0.4.txt
2007-03-19,2007-03-19,gitster,Documentation/RelNotes/1.5.0.5.txt
2007-03-29,2007-03-29,gitster,Documentation/RelNotes/1.5.0.6.txt
2007-04-04,2007-04-04,gitster,Documentation/RelNotes/1.5.0.7.txt
2007-02-14,2007-03-06,gitster,Documentation/RelNotes/1.5.0.txt
2007-04-08,2007-04-10,gitster,Documentation/RelNotes/1.5.1.1.txt
2007-04-18,2007-04-19,gitster,Documentation/RelNotes/1.5.1.2.txt
2007-04-26,2007-04-28,gitster,Documentation/RelNotes/1.5.1.3.txt
2007-05-09,2007-05-09,gitster,Documentation/RelNotes/1.5.1.4.txt
2007-05-15,2007-05-16,gitster,Documentation/RelNotes/1.5.1.5.txt
2007-05-20,2007-05-20,gitster,Documentation/RelNotes/1.5.1.6.txt
2007-04-04,2007-03-23,gitster,Documentation/RelNotes/1.5.1.txt
2007-06-03,2007-06-03,gitster,Documentation/RelNotes/1.5.2.1.txt
2007-06-16,2007-06-26,gitster,Documentation/RelNotes/1.5.2.2.txt
2007-07-02,2007-07-02,gitster,Documentation/RelNotes/1.5.2.3.txt
2007-07-13,2007-07-13,gitster,Documentation/RelNotes/1.5.2.4.txt
2007-08-16,2007-08-16,gitster,Documentation/RelNotes/1.5.2.5.txt
2007-04-08,2007-04-26,gitster,Documentation/RelNotes/1.5.2.txt
2007-09-03,2007-09-03,gitster,Documentation/RelNotes/1.5.3.1.txt
2007-09-19,2007-09-19,gitster,Documentation/RelNotes/1.5.3.2.txt
2007-09-30,2007-10-04,gitster,Documentation/RelNotes/1.5.3.3.txt
2007-10-01,2007-10-02,gitster,Documentation/RelNotes/1.5.3.4.txt
2007-10-16,2007-10-21,spearce,Documentation/RelNotes/1.5.3.5.txt
2007-11-17,2007-11-15,gitster,Documentation/RelNotes/1.5.3.6.txt
2007-12-02,2007-12-02,gitster,Documentation/RelNotes/1.5.3.7.txt
2008-01-08,2008-01-08,gitster,Documentation/RelNotes/1.5.3.8.txt
2007-06-03,2007-07-19,gitster,Documentation/RelNotes/1.5.3.txt
2008-02-17,2008-02-17,gitster,Documentation/RelNotes/1.5.4.1.txt
2008-02-17,2008-02-17,gitster,Documentation/RelNotes/1.5.4.2.txt
2008-02-24,2008-02-24,gitster,Documentation/RelNotes/1.5.4.3.txt
2008-03-09,2008-03-06,gitster,Documentation/RelNotes/1.5.4.4.txt
2008-03-16,2008-03-18,gitster,Documentation/RelNotes/1.5.4.5.txt
2008-06-27,2008-06-27,gitster,Documentation/RelNotes/1.5.4.6.txt
2008-12-17,2008-12-17,gitster,Documentation/RelNotes/1.5.4.7.txt
2007-12-02,2007-12-05,gitster,Documentation/RelNotes/1.5.4.txt
2008-04-21,2008-04-21,gitster,Documentation/RelNotes/1.5.5.1.txt
2008-05-26,2008-05-26,gitster,Documentation/RelNotes/1.5.5.2.txt
2008-05-28,2008-05-28,gitster,Documentation/RelNotes/1.5.5.3.txt
2008-06-08,2008-06-08,gitster,Documentation/RelNotes/1.5.5.4.txt
2008-06-27,2008-06-27,gitster,Documentation/RelNotes/1.5.5.5.txt
2008-12-17,2008-12-17,gitster,Documentation/RelNotes/1.5.5.6.txt
2008-02-28,2008-02-29,gitster,Documentation/RelNotes/1.5.5.txt
2008-06-26,2008-06-26,gitster,Documentation/RelNotes/1.5.6.1.txt
2008-07-02,2008-07-03,gitster,Documentation/RelNotes/1.5.6.2.txt
2008-07-09,2008-07-25,gitster,Documentation/RelNotes/1.5.6.3.txt
2008-07-17,2008-07-17,gitster,Documentation/RelNotes/1.5.6.4.txt
2008-08-02,2008-08-04,gitster,Documentation/RelNotes/1.5.6.5.txt
2008-12-17,2008-12-17,gitster,Documentation/RelNotes/1.5.6.6.txt
2008-04-21,2008-05-12,gitster,Documentation/RelNotes/1.5.6.txt
2008-08-21,2008-08-21,gitster,Documentation/RelNotes/1.6.0.1.txt
2008-09-04,2008-09-17,gitster,Documentation/RelNotes/1.6.0.2.txt
2008-10-07,2008-11-13,spearce,Documentation/RelNotes/1.6.0.3.txt
2008-11-02,2008-11-04,gitster,Documentation/RelNotes/1.6.0.4.txt
2008-12-07,2008-11-28,gitster,Documentation/RelNotes/1.6.0.5.txt
2008-12-20,2008-12-20,gitster,Documentation/RelNotes/1.6.0.6.txt
2008-06-26,2008-07-11,gitster,Documentation/RelNotes/1.6.0.txt
2009-01-15,2009-01-16,gitster,Documentation/RelNotes/1.6.1.1.txt
2009-01-29,2009-01-31,gitster,Documentation/RelNotes/1.6.1.2.txt
2009-02-07,2009-02-07,gitster,Documentation/RelNotes/1.6.1.3.txt
2009-05-04,2009-04-02,gitster,Documentation/RelNotes/1.6.1.4.txt
2008-09-04,2008-10-10,gitster,Documentation/RelNotes/1.6.1.txt
2009-03-12,2009-03-09,gitster,Documentation/RelNotes/1.6.2.1.txt
2009-03-22,2009-03-26,gitster,Documentation/RelNotes/1.6.2.2.txt
2009-04-09,2009-04-09,gitster,Documentation/RelNotes/1.6.2.3.txt
2009-04-19,2009-04-19,gitster,Documentation/RelNotes/1.6.2.4.txt
2009-05-04,2009-05-04,gitster,Documentation/RelNotes/1.6.2.5.txt
2009-02-08,2009-02-22,gitster,Documentation/RelNotes/1.6.2.txt
2009-05-09,2009-05-11,gitster,Documentation/RelNotes/1.6.3.1.txt
2009-05-26,2009-05-28,gitster,Documentation/RelNotes/1.6.3.2.txt
2009-06-22,2009-06-22,gitster,Documentation/RelNotes/1.6.3.3.txt
2009-07-29,2009-07-29,gitster,Documentation/RelNotes/1.6.3.4.txt
2009-03-06,2009-04-13,gitster,Documentation/RelNotes/1.6.3.txt
2009-08-22,2009-08-22,gitster,Documentation/RelNotes/1.6.4.1.txt
2009-08-30,2009-08-30,gitster,Documentation/RelNotes/1.6.4.2.txt
2009-09-13,2009-09-25,gitster,Documentation/RelNotes/1.6.4.3.txt
2009-09-17,2009-09-17,gitster,Documentation/RelNotes/1.6.4.4.txt
2010-12-16,2010-12-16,gitster,Documentation/RelNotes/1.6.4.5.txt
2009-05-09,2009-07-12,gitster,Documentation/RelNotes/1.6.4.txt
2009-10-17,2009-10-17,gitster,Documentation/RelNotes/1.6.5.1.txt
2009-10-26,2009-10-26,gitster,Documentation/RelNotes/1.6.5.2.txt
2009-11-16,2009-11-16,gitster,Documentation/RelNotes/1.6.5.3.txt
2009-12-03,2010-04-03,gitster,Documentation/RelNotes/1.6.5.4.txt
2009-12-04,2009-12-04,gitster,Documentation/RelNotes/1.6.5.5.txt
2009-12-11,2009-12-11,gitster,Documentation/RelNotes/1.6.5.6.txt
2009-12-17,2009-12-30,gitster,Documentation/RelNotes/1.6.5.7.txt
2010-01-21,2010-01-21,gitster,Documentation/RelNotes/1.6.5.8.txt
2010-12-16,2010-12-16,gitster,Documentation/RelNotes/1.6.5.9.txt
2009-08-29,2009-09-21,gitster,Documentation/RelNotes/1.6.5.txt
2010-01-19,2010-01-14,gitster,Documentation/RelNotes/1.6.6.1.txt
2010-02-11,2010-02-11,gitster,Documentation/RelNotes/1.6.6.2.txt
2010-12-16,2010-12-16,gitster,Documentation/RelNotes/1.6.6.3.txt
2009-11-29,2009-12-10,gitster,Documentation/RelNotes/1.6.6.txt
2010-02-17,2010-02-20,gitster,Documentation/RelNotes/1.7.0.1.txt
2010-03-05,2010-06-01,gitster,Documentation/RelNotes/1.7.0.2.txt
2010-03-08,2010-03-11,gitster,Documentation/RelNotes/1.7.0.3.txt
2010-03-29,2010-03-30,gitster,Documentation/RelNotes/1.7.0.4.txt
2010-04-12,2010-04-12,gitster,Documentation/RelNotes/1.7.0.5.txt
2010-04-23,2010-04-23,gitster,Documentation/RelNotes/1.7.0.6.txt
2010-07-28,2010-07-28,gitster,Documentation/RelNotes/1.7.0.7.txt
2010-12-03,2010-12-03,gitster,Documentation/RelNotes/1.7.0.8.txt
2010-12-16,2010-12-16,gitster,Documentation/RelNotes/1.7.0.9.txt
2009-12-27,2010-01-18,gitster,Documentation/RelNotes/1.7.0.txt
2010-06-17,2010-06-21,gitster,Documentation/RelNotes/1.7.1.1.txt
2010-07-08,2010-07-14,gitster,Documentation/RelNotes/1.7.1.2.txt
2010-12-03,2010-12-03,gitster,Documentation/RelNotes/1.7.1.3.txt
2010-12-16,2010-12-16,gitster,Documentation/RelNotes/1.7.1.4.txt
2010-03-08,2010-03-22,gitster,Documentation/RelNotes/1.7.1.txt
2012-04-27,2012-05-29,gitster,Documentation/RelNotes/1.7.10.1.txt
2012-05-08,2012-05-09,gitster,Documentation/RelNotes/1.7.10.2.txt
2012-05-15,2012-05-19,gitster,Documentation/RelNotes/1.7.10.3.txt
2012-06-02,2012-09-04,gitster,Documentation/RelNotes/1.7.10.4.txt
2012-06-18,2012-06-18,gitster,Documentation/RelNotes/1.7.10.5.txt
2012-03-08,2012-03-01,gitster,Documentation/RelNotes/1.7.10.txt
2012-06-22,2012-06-22,gitster,Documentation/RelNotes/1.7.11.1.txt
2012-07-12,2012-07-20,gitster,Documentation/RelNotes/1.7.11.2.txt
2012-07-23,2012-07-23,gitster,Documentation/RelNotes/1.7.11.3.txt
2012-07-31,2012-07-31,gitster,Documentation/RelNotes/1.7.11.4.txt
2012-08-07,2012-08-09,gitster,Documentation/RelNotes/1.7.11.5.txt
2012-09-12,2012-09-06,gitster,Documentation/RelNotes/1.7.11.6.txt
