DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2018-02-04	2018-01-18	Domingo Oropeza	.atoum.php
2017-01-25	2017-01-25	Alexander Salas Bastidas	.gitattributes
2019-08-12	2019-08-12	Alexander Salas Bastidas	.github/FUNDING.yml
2017-10-30	2018-01-29	Naylin Medina	.github/ISSUE_TEMPLATE.md
2018-06-08	2018-05-03	Alexander Salas Bastidas	.github/ISSUE_TEMPLATE/Bug_report.md
2018-07-11	2018-05-03	Alexander Salas Bastidas	.github/ISSUE_TEMPLATE/Feature_request.md
2019-08-12	2019-08-12	Alexander Salas Bastidas	.github/ISSUE_TEMPLATE/question.md
2018-03-18	2018-06-18	Naylin Medina	.github/PULL_REQUEST_TEMPLATE.md
2017-11-14	2017-11-14	Naylin Medina	.github/invite-contributors.yml
2018-01-29	2018-01-26	Naylin	.github/settings.yml
2017-01-28	2016-12-15	btry	.gitignore
2018-10-31	2019-08-14	Thierry Bugier	.travis.yml
2017-06-14	2017-03-02	Thierry Bugier Pineau	.tx/config
2018-05-08	2018-07-19	Thierry Bugier	CHANGELOG.md
2018-08-15	2018-09-18	Alexander Salas Bastidas	CODE_OF_CONDUCT.md
2018-02-19	2018-02-13	bootbeep	CONTRIBUTING.md
2017-07-05	2017-07-05	Thierry Bugier Pineau	LICENSE.md
2017-09-27	2017-07-19	Thierry Bugier Pineau	README.md
2017-09-11	2017-07-06	Thierry Bugier Pineau	RoboFile.php
2017-08-21	2017-03-30	Thierry Bugier Pineau	ajax/geolocation.php
2017-06-13	2017-07-05	Thierry Bugier Pineau	ajax/getGraph.php
2017-05-27	2016-12-15	btry	ajax/mqtt_test.php
2017-07-27	2017-07-05	Thierry Bugier Pineau	ajax/policyValue.php
2017-11-17	2017-02-08	Thierry Bugier Pineau	composer.json
2018-07-21	2018-02-14	Thierry Bugier	composer.lock
2016-12-22	2016-12-15	btry	config.js
2017-08-25	2017-03-03	Thierry Bugier Pineau	css/style.css
2017-06-11	2016-12-15	Thierry Bugier Pineau	front/agent.form.php
2017-06-17	2017-07-05	Thierry Bugier Pineau	front/agent.php
2017-07-13	2017-07-05	Thierry Bugier Pineau	front/config.form.php
2017-08-03	2017-06-28	Thierry Bugier Pineau	front/entityconfig.form.php
2017-06-25	2017-07-05	Thierry Bugier Pineau	front/file.form.php
2017-07-11	2017-07-05	Thierry Bugier Pineau	front/file.php
2017-04-26	2016-12-15	btry	front/fleet.form.php
2017-06-18	2017-07-05	Thierry Bugier Pineau	front/fleet.php
2017-07-02	2017-03-03	Thierry Bugier Pineau	front/invitation.form.php
2017-07-11	2017-07-05	Thierry Bugier Pineau	front/invitation.php
2017-06-02	2017-07-05	Thierry Bugier Pineau	front/menu.php
2017-05-11	2016-12-15	Thierry Bugier Pineau	front/package.form.php
2017-06-27	2017-07-05	Thierry Bugier Pineau	front/package.php
2017-07-16	2017-07-05	Thierry Bugier Pineau	front/policycategory.form.php
2017-07-16	2017-07-05	Thierry Bugier Pineau	front/policycategory.php
2017-08-08	2017-07-05	Thierry Bugier Pineau	front/task.form.php
2017-07-16	2017-07-05	Thierry Bugier Pineau	front/wellknownpath.form.php
2017-07-16	2017-07-05	Thierry Bugier Pineau	front/wellknownpath.php
2017-06-24	2016-12-15	Thierry Bugier Pineau	hook.php
2017-10-01	2016-12-15	btry	inc/agent.class.php
2018-10-09	2018-10-08	Domingo Oropeza	inc/broker/brokerbus.class.php
2018-10-09	2018-10-08	Domingo Oropeza	inc/broker/brokerenvelope.class.php
2018-10-10	2018-10-08	Domingo Oropeza	inc/broker/brokerhandlerlocator.php
2018-10-10	2018-10-08	Domingo Oropeza	inc/broker/brokermessage.class.php
2018-10-10	2018-10-08	Domingo Oropeza	inc/broker/brokerreceivedmessage.class.php
2018-11-01	2018-10-31	Domingo Oropeza	inc/broker/brokerworker.class.php
2018-09-05	2019-09-03	Stanislas	inc/common.class.php
2017-12-12	2017-10-29	Thierry Bugier	inc/config.class.php
2018-06-12	2018-05-22	Domingo Oropeza	inc/deployable.class.php
2017-07-13	2016-12-15	Thierry Bugier	inc/entityconfig.class.php
2018-10-31	2018-12-11	Domingo Oropeza	inc/exception/agentsendqueryexception.class.php
2018-11-02	2018-12-11	Domingo Oropeza	inc/exception/fusioninventoryruleinconsistency.class.php
2018-10-22	2018-12-11	Domingo Oropeza	inc/exception/policyapplicationexception.class.php
2018-11-05	2018-12-11	Domingo Oropeza	inc/exception/taskpublishpolicybadfleetexception.class.php
2018-11-05	2018-12-11	Domingo Oropeza	inc/exception/taskpublishpolicypolicynotfoundexception.class.php
2018-12-05	2018-12-05	Domingo Oropeza	inc/fcm/fcmconnection.class.php
