DATE(MODE),DATE(MEAN),AUTHOR,PATH
1995-07-20,2001-09-07,glennrp,pngwtran.c
1995-07-20,2005-02-27,glennrp,pngrtran.c
1995-07-20,2008-03-17,glennrp,scripts/makefile.mips
1995-07-20,2011-01-02,glennrp,scripts/makefile.std
1995-12-19,2004-03-26,glennrp,pngpread.c
1996-01-26,1998-08-17,schalnat,scripts/makevms.com
1996-01-26,2002-04-01,schalnat,scripts/makefile.amiga
1996-01-26,2004-06-16,schalnat,scripts/descrip.mms
1996-01-26,2009-10-23,ctruta,scripts/makefile.atari
1996-06-06,2002-12-06,adilger,scripts/makefile.riscos
1996-06-06,2004-09-01,glennrp,pngrio.c
1997-05-16,2005-09-13,glennrp,pngtrans.c
1997-05-16,2008-05-10,glennrp,scripts/makefile.sunos
1998-01-02,2010-01-21,glennrp,scripts/makefile.dec
1998-01-17,2009-07-22,glennrp,scripts/makefile.sgi
1998-02-08,2008-02-03,glennrp,png.5
1998-02-09,2007-01-03,glennrp,libpng.3
1998-03-09,1998-03-09,glennrp,scripts/SCOPTIONS.ppc
1998-03-09,2003-06-21,glennrp,scripts/smakefile.ppc
1998-05-03,2009-05-03,glennrp,scripts/makefile.sco
1998-06-15,2007-07-12,glennrp,scripts/makefile.vcwin32
1999-01-14,2009-08-20,glennrp,scripts/makefile.hpux
1999-09-18,2009-07-30,glennrp,scripts/makefile.beos
1999-10-14,2000-05-28,glennrp,contrib/gregbook/wpng.c
1999-10-14,2000-07-31,glennrp,contrib/gregbook/Makefile.w32
1999-10-14,2000-08-28,glennrp,contrib/gregbook/rpng-x.c
1999-10-14,2000-10-31,glennrp,contrib/gregbook/rpng2-win.c
1999-10-14,2001-04-25,glennrp,contrib/gregbook/readpng.c
1999-10-14,2001-05-12,glennrp,contrib/gregbook/rpng-win.c
1999-10-14,2001-06-09,glennrp,contrib/gregbook/writepng.h
1999-10-14,2001-08-29,glennrp,contrib/gregbook/writepng.c
1999-10-14,2001-10-12,glennrp,contrib/gregbook/rpng2-x.c
1999-10-14,2002-03-20,glennrp,contrib/gregbook/readpng2.h
1999-10-14,2002-04-16,glennrp,contrib/gregbook/readpng.h
1999-10-14,2002-11-02,glennrp,contrib/gregbook/readpng2.c
1999-10-14,2004-04-01,glennrp,contrib/gregbook/Makefile.unx
1999-10-23,2000-09-14,glennrp,contrib/pngminus/test_png2pnm.bat
1999-10-23,2000-09-14,glennrp,contrib/pngminus/test_pnm2png.bat
1999-10-23,2000-11-03,glennrp,contrib/pngminus/test_png2pnm.sh
1999-10-23,2000-11-03,glennrp,contrib/pngminus/test_pnm2png.sh
1999-10-23,2003-12-22,glennrp,contrib/pngminus/README.txt
1999-10-23,2004-08-15,glennrp,contrib/pngminus/test_pngminus.bat
1999-10-23,2004-12-28,glennrp,contrib/pngminus/test_pngminus.sh
1999-10-23,2006-05-08,glennrp,contrib/pngminus/png2pnm.c
1999-10-23,2010-12-30,glennrp,contrib/pngminus/pnm2png.c
1999-11-28,1999-12-09,glennrp,contrib/pngminus/makevms.com
1999-11-28,2000-02-01,glennrp,contrib/gregbook/makevms.com
2000-03-21,2000-11-04,glennrp,contrib/gregbook/README
2000-03-21,2003-07-21,glennrp,scripts/makefile.bc32
