DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2005-08-18	2005-04-16	Linus Torvalds	Documentation/admin-guide/aoe/udev-install.sh
2005-09-18	2005-04-16	Linus Torvalds	Documentation/admin-guide/laptops/laptop-mode.rst
2006-01-13	2005-04-16	Linus Torvalds	Documentation/admin-guide/aoe/status.sh
2006-02-08	2005-04-16	Linus Torvalds	Documentation/admin-guide/aoe/autoload.sh
2006-04-27	2006-04-27	Greg Kroah-Hartman	Documentation/ABI/stable/syscalls
2006-06-09	2005-04-16	Linus Torvalds	Documentation/admin-guide/device-mapper/zero.rst
2006-07-20	2006-04-27	Greg Kroah-Hartman	Documentation/ABI/testing/sysfs-devices
2006-07-26	2005-04-16	Linus Torvalds	CREDITS
2006-08-11	2005-04-16	Linus Torvalds	Documentation/admin-guide/device-mapper/dm-io.rst
2006-09-06	2006-04-27	Greg Kroah-Hartman	Documentation/ABI/testing/sysfs-class
2006-09-29	2005-04-16	Linus Torvalds	Documentation/admin-guide/java.rst
2006-10-03	2006-07-14	Shailabh Nagar	Documentation/accounting/taskstats.rst
2006-10-18	2005-04-16	Linus Torvalds	Documentation/admin-guide/device-mapper/kcopyd.rst
2006-12-01	2005-04-16	Linus Torvalds	Documentation/admin-guide/laptops/sonypi.rst
2007-01-09	2005-04-16	Linus Torvalds	Documentation/admin-guide/aoe/udev.txt
2007-02-10	2005-04-16	Linus Torvalds	Documentation/admin-guide/blockdev/paride.rst
2007-07-31	2005-04-16	Linus Torvalds	Documentation/admin-guide/blockdev/floppy.rst
2007-10-19	2006-04-27	Greg Kroah-Hartman	Documentation/ABI/stable/sysfs-module
2007-11-18	2005-04-19	Ed L. Cashin	Documentation/admin-guide/aoe/todo.rst
2007-12-08	2005-04-16	Linus Torvalds	Documentation/admin-guide/initrd.rst
2008-01-07	2006-04-27	Greg Kroah-Hartman	Documentation/ABI/removed/devfs
2008-01-23	2005-04-16	Linus Torvalds	Documentation/PCI/pciebus-howto.rst
2008-01-30	2008-01-30	Mark Fasheh	Documentation/ABI/stable/o2cb
2008-02-20	2005-04-16	Linus Torvalds	Documentation/RCU/arrayRCU.rst
2008-03-31	2008-03-31	Joel Becker	Documentation/ABI/testing/sysfs-ocfs2
2008-05-02	2005-04-16	Linus Torvalds	Documentation/admin-guide/cgroup-v1/cpusets.rst
2008-06-09	2008-02-08	Artem Bityutskiy	Documentation/ABI/stable/sysfs-class-ubi
2008-07-11	2006-07-14	Shailabh Nagar	Documentation/accounting/delay-accounting.rst
2008-07-24	2008-07-24	Nishanth Aravamudan	Documentation/ABI/testing/sysfs-kernel-mm
2008-08-08	2006-04-27	Greg Kroah-Hartman	Documentation/ABI/README
2008-08-11	2007-03-01	Vassili Karpov	Documentation/admin-guide/cpu-load.rst
2008-08-13	2005-04-16	Linus Torvalds	Documentation/admin-guide/ldm.rst
2008-09-17	2008-09-17	David Vrabel	Documentation/ABI/testing/sysfs-bus-umc
2008-09-27	2005-04-16	Linus Torvalds	Documentation/PCI/sysfs-pci.rst
2008-09-30	2005-09-10	Paul E. McKenney	Documentation/RCU/UP.rst
2008-10-05	2005-04-16	Linus Torvalds	Documentation/admin-guide/highuid.rst
2008-10-07	2006-10-01	Jay Lan	Documentation/accounting/taskstats-struct.rst
2008-10-11	2008-04-30	Peter Zijlstra	Documentation/ABI/testing/sysfs-class-bdi
2008-11-06	2005-04-16	Ed L. Cashin	Documentation/admin-guide/aoe/aoe.rst
2008-11-12	2008-11-12	Rodolfo Giometti	Documentation/ABI/testing/sysfs-c2port
2008-12-13	2008-09-17	David Vrabel	Documentation/ABI/testing/sysfs-wusb_cbaf
2009-01-31	2005-04-16	Linus Torvalds	Documentation/admin-guide/devices.rst
2009-03-14	2005-09-06	Paul E. McKenney	Documentation/RCU/NMI-RCU.rst
2009-03-28	2008-04-30	Liam Girdwood	Documentation/ABI/testing/sysfs-class-regulator
2009-04-19	2005-09-10	Paul E. McKenney	Documentation/RCU/whatisRCU.rst
2009-05-28	2008-01-30	Mark Fasheh	Documentation/ABI/removed/o2cb
2009-06-10	2008-08-26	Greg Kroah-Hartman	Documentation/ABI/stable/sysfs-driver-usb-usbtmc
2009-06-17	2009-06-17	Rodolfo Giometti	Documentation/ABI/testing/sysfs-pps
2009-06-22	2006-02-03	Linas Vepstas	Documentation/PCI/pci-error-recovery.rst
2009-06-30	2008-04-21	Dan Williams	Documentation/ABI/testing/sysfs-dev
2009-07-20	2005-04-16	Linus Torvalds	Documentation/admin-guide/hw_random.rst
2009-07-22	2008-10-13	Elias Oltmanns	Documentation/admin-guide/laptops/disk-shock-protection.rst
2009-08-20	2007-12-12	Dhaval Giani	Documentation/ABI/removed/sysfs-kernel-uids
2009-08-28	2009-08-28	Corentin Chary	Documentation/ABI/testing/sysfs-class-lcd
2009-09-09	2009-04-24	David Rientjes	Documentation/ABI/testing/sysfs-kernel-slab
2009-09-17	2005-04-16	Linus Torvalds	Documentation/admin-guide/README.rst
2009-09-25	2009-09-25	Philipp Reisner	Documentation/admin-guide/blockdev/drbd/DRBD-8.3-data-packets.svg
2009-09-25	2009-09-25	Philipp Reisner	Documentation/admin-guide/blockdev/drbd/DRBD-data-packets.svg
2009-09-25	2009-09-25	Philipp Reisner	Documentation/admin-guide/blockdev/drbd/conn-states-8.dot
2009-09-25	2009-09-25	Philipp Reisner	Documentation/admin-guide/blockdev/drbd/disk-states-8.dot
2009-09-25	2009-09-25	Philipp Reisner	Documentation/admin-guide/blockdev/drbd/drbd-connection-state-overview.dot
2009-09-25	2009-09-25	Philipp Reisner	Documentation/admin-guide/blockdev/drbd/node-states-8.dot
2009-10-06	2008-09-17	David Vrabel	Documentation/ABI/testing/sysfs-class-uwb_rc
