DATE(MODE),DATE(MEAN),AUTHOR,PATH
2019-06-12,2019-08-02,austdi,.clang-format
2019-05-29,2019-07-29,duhowett,.editorconfig
2019-05-03,2019-05-30,duhowett,.gitattributes
2021-03-20,2021-05-05,duhowett,.github/ISSUE_TEMPLATE/Bug_Report.yml
2019-05-17,2019-06-13,duhowett,.github/ISSUE_TEMPLATE/Documentation_Issue.md
2019-05-17,2019-06-21,duhowett,.github/ISSUE_TEMPLATE/Feature_Request.md
2020-11-05,2020-11-05,67918878+alannt777,.github/ISSUE_TEMPLATE/config.yml
2019-05-16,2019-06-28,bharatraghunthan9767,.github/PULL_REQUEST_TEMPLATE.md
2021-05-14,2020-12-30,2119212+jsoref,.github/actions/spelling/advice.md
2020-03-26,2020-06-16,jsoref,.github/actions/spelling/allow/README.md
2021-05-14,2021-08-08,2119212+jsoref,.github/actions/spelling/allow/allow.txt
2021-05-05,2021-03-24,duhowett,.github/actions/spelling/allow/apis.txt
2020-03-26,2020-03-26,jsoref,.github/actions/spelling/allow/chinese.txt
2021-05-14,2021-05-14,2119212+jsoref,.github/actions/spelling/allow/colors.txt
2020-03-26,2020-06-13,jsoref,.github/actions/spelling/allow/fonts.txt
2020-03-26,2020-03-26,jsoref,.github/actions/spelling/allow/japanese.txt
2021-10-08,2021-06-15,pankaj.d.bhoj,.github/actions/spelling/allow/math.txt
2020-08-19,2021-01-18,miniksa,.github/actions/spelling/allow/microsoft.txt
2020-03-26,2020-08-18,jsoref,.github/actions/spelling/allow/names.txt
2020-03-26,2020-08-02,jsoref,.github/actions/spelling/excludes.txt
2020-05-28,2020-05-28,jsoref,.github/actions/spelling/expect/README.md
2020-03-26,2020-08-22,jsoref,.github/actions/spelling/expect/alphabet.txt
2020-03-26,2020-05-18,jsoref,.github/actions/spelling/expect/expect.txt
2022-01-05,2021-02-28,migrie,.github/actions/spelling/expect/web.txt
2020-03-26,2020-03-26,jsoref,.github/actions/spelling/patterns/0_n.txt
2020-03-26,2020-03-26,jsoref,.github/actions/spelling/patterns/0_r.txt
2020-03-26,2020-03-26,jsoref,.github/actions/spelling/patterns/0_t.txt
2020-03-26,2020-03-26,jsoref,.github/actions/spelling/patterns/README.md
2020-03-26,2020-10-09,jsoref,.github/actions/spelling/patterns/patterns.txt
2021-05-14,2021-05-14,2119212+jsoref,.github/actions/spelling/reject.txt
2022-07-01,2022-07-01,48340428+msftbot[bot],.github/fabricbot.json
2020-10-16,2020-10-16,migrie,.github/linters/.markdown-lint.yml
2020-03-26,2020-11-19,2119212+jsoref,.github/workflows/spelling2.yml
2019-05-03,2019-01-31,duhowett,.gitignore
2019-05-03,2019-05-05,duhowett,.gitmodules
2019-05-11,2019-05-11,amweiss,.nuget/packages.config
2021-02-27,2021-02-27,miniksa,.vscode/extensions.json
2021-02-27,2021-02-27,miniksa,.vscode/launch.json
2021-02-27,2021-03-02,miniksa,.vscode/tasks.json
2020-03-06,2019-12-29,duhowett,CODE_OF_CONDUCT.md
2019-06-06,2019-10-16,richturn,CONTRIBUTING.md
2019-05-03,2019-05-03,duhowett,LICENSE
2019-06-05,2020-05-14,miniksa,NOTICE.md
2019-05-03,2020-03-27,miniksa,NuGet.Config
2019-05-03,2020-06-01,duhowett,OpenConsole.sln
2020-10-16,2020-04-30,migrie,README.md
2019-09-11,2019-09-11,miniksa,SECURITY.md
2020-10-13,2020-10-13,cinnamon,SUPPORT.md
2021-06-11,2021-06-11,migrie,Scratch.sln
2021-05-14,2021-03-26,miniksa,build/Helix/AzurePipelinesHelperScripts.ps1
2020-08-19,2020-08-19,miniksa,build/Helix/ConvertWttLogToXUnit.ps1
2020-08-19,2020-08-23,miniksa,build/Helix/EnsureMachineState.ps1
2020-08-19,2020-08-19,miniksa,build/Helix/GenerateTestProjFile.ps1
