DATE(MODE),DATE(MEAN),AUTHOR,PATH
2021-08-20,2021-07-24,djm,.depend
2022-08-29,2022-08-28,djm,.git_allowed_signers
2021-04-28,2021-04-28,dtucker,.github/ci-status.md
2021-01-15,2021-08-30,dtucker,.github/configs
2021-10-07,2021-09-01,dtucker,.github/configure.sh
2022-08-10,2021-07-17,dtucker,.github/run_test.sh
2020-08-06,2021-08-16,dtucker,.github/setup_ci.sh
2020-08-06,2021-09-02,dtucker,.github/workflows/c-cpp.yml
2021-01-15,2021-05-09,dtucker,.github/workflows/selfhosted.yml
2021-04-28,2021-07-22,dtucker,.github/workflows/upstream.yml
2017-05-09,2017-12-21,djm,.gitignore
2016-06-14,2018-05-12,dtucker,.skipped-commit-ids
1999-12-27,2001-02-01,djm,CREDITS
1999-11-12,2007-06-16,dtucker,INSTALL
2000-09-30,2003-10-04,djm,LICENCE
2019-12-14,2012-04-28,djm,Makefile.in
1999-10-27,2000-12-10,djm,OVERVIEW
2008-05-19,2014-05-10,djm,PROTOCOL
2021-12-20,2021-12-05,djm,PROTOCOL.agent
2010-02-27,2012-03-04,djm,PROTOCOL.certkeys
2013-11-21,2014-01-26,djm,PROTOCOL.chacha20poly1305
2013-12-07,2015-03-07,djm,PROTOCOL.key
2013-01-18,2013-06-13,djm,PROTOCOL.krl
2010-02-10,2012-11-01,djm,PROTOCOL.mux
2019-09-03,2019-09-10,djm,PROTOCOL.sshsig
2019-11-01,2019-12-19,djm,PROTOCOL.u2f
2019-04-06,2014-10-19,djm,README
2003-05-15,2004-11-02,djm,README.dns
2019-04-06,2019-08-08,djm,README.md
2006-06-23,2007-11-16,dtucker,README.platform
2002-05-13,2004-07-18,stevesk,README.privsep
2006-01-02,2006-01-03,djm,README.tun
2021-11-03,2021-11-03,djm,SECURITY.md
2000-11-21,2002-03-24,djm,TODO
2021-01-09,2021-01-22,dtucker,addr.c
2021-01-09,2021-01-09,dtucker,addr.h
2008-06-10,2009-10-09,dtucker,addrmatch.c
2006-04-23,2006-12-17,djm,atomicio.c
2001-01-22,2004-07-31,mouring,atomicio.h
2005-02-20,2006-12-17,dtucker,audit-bsm.c
2011-01-17,2011-08-24,dtucker,audit-linux.c
2005-02-03,2005-05-28,dtucker,audit.c
2005-02-03,2006-05-09,dtucker,audit.h
2001-06-10,2002-12-23,mouring,auth-bsdauth.c
2001-09-25,2004-09-08,djm,auth-krb5.c
2018-03-03,2017-06-14,djm,auth-options.c
2018-03-03,2016-12-20,djm,auth-options.h
2003-05-10,2007-05-03,djm,auth-pam.c
2002-07-22,2004-04-17,stevesk,auth-pam.h
2005-01-24,2005-08-27,djm,auth-passwd.c
1999-10-27,2004-08-18,djm,auth-rhosts.c
2004-02-10,2005-05-06,dtucker,auth-shadow.c
2001-02-14,2002-05-20,djm,auth-sia.c
2002-04-13,2002-02-03,stevesk,auth-sia.h
2016-03-08,2010-10-13,djm,auth.c
2017-06-24,2008-08-14,djm,auth.h
2001-06-06,2006-01-29,mouring,auth2-chall.c
2003-08-26,2009-06-02,dtucker,auth2-gss.c
2002-06-07,2010-06-02,djm,auth2-hostbased.c
2002-06-07,2006-10-04,mouring,auth2-kbdint.c
2002-06-07,2005-11-29,mouring,auth2-none.c
2002-06-07,2007-07-03,mouring,auth2-passwd.c
2002-06-07,2015-01-22,djm,auth2-pubkey.c
