DATE(MODE),DATE(MEAN),AUTHOR,PATH
2018-11-23,2018-09-29,levitte,.gitattributes
2020-06-04,2020-06-04,kurt,.github/FUNDING.yml
2018-11-13,2018-12-10,levitte,.github/ISSUE_TEMPLATE.md
2018-11-13,2018-12-13,levitte,.github/ISSUE_TEMPLATE/bug_report.md
2019-10-28,2019-10-28,Matthias.St.Pierre,.github/ISSUE_TEMPLATE/documentation.md
2018-11-13,2018-12-30,levitte,.github/ISSUE_TEMPLATE/feature_request.md
2019-08-03,2019-08-03,Matthias.St.Pierre,.github/ISSUE_TEMPLATE/question.md
2016-10-22,2017-06-10,kurt,.github/PULL_REQUEST_TEMPLATE.md
2020-11-24,2021-02-02,matt,.github/workflows/ci.yml
2021-08-30,2022-03-25,sam,.github/workflows/compiler-zoo.yml
2021-03-12,2021-07-10,shane.lontis,.github/workflows/coveralls.yml
2021-07-22,2021-07-23,pauli,.github/workflows/cross-compiles.yml
2021-05-17,2021-06-27,tomas,.github/workflows/fips-checksums.yml
2021-05-17,2021-07-03,tomas,.github/workflows/fips-label.yml
2022-09-14,2022-09-14,pauli,.github/workflows/fips-old.yml
2021-08-27,2021-09-27,pauli,.github/workflows/fuzz-checker.yml
2020-02-21,2020-10-07,lneat,.github/workflows/main.yml
2021-05-04,2021-07-13,pauli,.github/workflows/run-checker-ci.yml
2021-05-04,2021-05-24,pauli,.github/workflows/run-checker-daily.yml
2021-05-04,2021-07-22,pauli,.github/workflows/run-checker-merge.yml
2021-03-30,2021-06-26,shane.lontis,.github/workflows/windows.yml
2016-07-08,2016-09-28,levitte,.gitignore
2020-05-12,2019-02-02,beldmit,.gitmodules
2019-11-29,2019-11-29,Matthias.St.Pierre,ACKNOWLEDGEMENTS.md
2019-11-29,2020-01-17,Matthias.St.Pierre,AUTHORS.md
2019-11-29,2014-02-08,Matthias.St.Pierre,CHANGES.md
2018-04-08,2018-11-04,rsalz,CONTRIBUTING.md
2016-02-27,2017-03-26,levitte,Configurations/00-base-templates.conf
2015-03-11,2017-01-24,levitte,Configurations/10-main.conf
2018-03-12,2018-09-09,appro,Configurations/15-android.conf
2018-06-04,2018-07-27,appro,Configurations/15-ios.conf
2020-11-20,2020-12-16,tanzinul.islam,Configurations/50-cppbuilder.conf
2016-05-11,2017-06-17,levitte,Configurations/50-djgpp.conf
2016-05-01,2017-04-13,appro,Configurations/50-haiku.conf
2016-04-20,2017-02-19,appro,Configurations/50-masm.conf
2020-09-21,2020-10-05,levitte,Configurations/50-nonstop.conf
2018-01-08,2018-01-08,levitte,Configurations/50-os390.conf
2021-07-26,2021-07-26,levitte,Configurations/50-vms-x86_64.conf
2019-05-12,2018-12-21,Mouri_Naruto,Configurations/50-win-onecore.conf
2015-03-11,2016-10-09,levitte,Configurations/90-team.norelease.conf
2016-03-10,2016-03-10,levitte,Configurations/INTERNALS.Configure
2016-02-08,2016-12-16,levitte,Configurations/README-design.md
2015-05-18,2016-11-09,levitte,Configurations/README.md
2018-04-11,2018-05-01,levitte,Configurations/common0.tmpl
2016-01-30,2018-10-25,levitte,Configurations/descrip.mms.tmpl
2021-05-17,2021-05-21,levitte,Configurations/gentemplate.pm
2018-10-23,2018-10-23,levitte,Configurations/platform.pm
2019-02-05,2019-05-19,levitte,Configurations/platform/AIX.pm
2018-10-23,2018-11-02,levitte,Configurations/platform/BASE.pm
2018-10-24,2018-10-24,levitte,Configurations/platform/Cygwin.pm
2018-10-24,2019-07-08,levitte,Configurations/platform/Unix.pm
2018-10-24,2018-11-21,levitte,Configurations/platform/VMS.pm
2018-10-23,2018-11-23,levitte,Configurations/platform/Windows.pm
2018-10-23,2019-05-06,levitte,Configurations/platform/Windows/MSVC.pm
2020-12-14,2020-12-14,tanzinul.islam,Configurations/platform/Windows/cppbuilder.pm
2018-10-24,2019-03-07,levitte,Configurations/platform/mingw.pm
2017-12-02,2018-04-21,levitte,Configurations/shared-info.pl
2016-01-30,2018-07-19,levitte,Configurations/unix-Makefile.tmpl
2017-03-06,2017-05-19,levitte,Configurations/unix-checker.pm
2017-03-06,2017-06-03,levitte,Configurations/windows-checker.pm
2018-03-07,2018-09-09,levitte,Configurations/windows-makefile.tmpl
2016-01-30,2016-11-14,levitte,Configure
2019-11-29,2019-11-29,Matthias.St.Pierre,FAQ.md
2019-07-08,2019-12-27,beldmit,HACKING.md
2019-12-31,2018-07-18,Matthias.St.Pierre,INSTALL.md
2018-12-06,2018-09-15,levitte,LICENSE.txt
2019-11-29,2018-05-28,Matthias.St.Pierre,NEWS.md
2018-03-16,2019-04-05,appro,NOTES-ANDROID.md
2020-06-11,2009-11-02,appro,NOTES-DJGPP.md
2020-10-25,2020-12-31,rsbecker,NOTES-NONSTOP.md
2016-01-22,2018-03-26,richard,NOTES-PERL.md
2018-06-19,2018-10-25,levitte,NOTES-UNIX.md
2019-05-03,2019-10-19,tshort,NOTES-VALGRIND.md
2016-03-08,2017-08-02,levitte,NOTES-VMS.md
2020-06-09,2019-05-19,David.von.Oheimb,NOTES-WINDOWS.md
