DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2018-02-16	2018-05-28	Naylin Medina	.circleci/README.md
2018-06-17	2018-07-19	Rafa Hernandez	.circleci/config.yml
2019-07-24	2019-07-24	Alexander Salas Bastidas	.github/FUNDING.yml
2017-10-13	2018-01-29	Naylin	.github/ISSUE_TEMPLATE.md
2018-05-03	2018-05-03	Alexander Salas Bastidas	.github/ISSUE_TEMPLATE/Bug_report.md
2018-05-03	2018-05-03	Alexander Salas Bastidas	.github/ISSUE_TEMPLATE/Feature_request.md
2018-03-17	2018-06-27	Naylin Medina	.github/PULL_REQUEST_TEMPLATE.md
2017-10-24	2017-10-24	Naylin	.github/invite-contributors.yml
2017-11-05	2017-10-18	Naylin Medina	.github/settings.yml
2017-06-27	2017-06-01	Alexander Salas Bastidas	.gitignore
2017-12-04	2017-09-06	Rafa Hernandez	.tx/config
2018-07-30	2018-07-30	Rafael Jesus Hernández Vasquez	CHANGELOG.md
2018-08-14	2018-09-18	Alexander Salas Bastidas	CODE_OF_CONDUCT.md
2018-03-12	2018-03-09	Naylin	CONTRIBUTING.md
2018-07-20	2018-07-20	Rafa Hernandez	Gemfile
2018-11-03	2018-07-20	Rafa Hernandez	Gemfile.lock
2017-07-21	2017-07-21	Alexander Salas Bastidas	LICENSE.md
2018-01-01	2017-09-15	Naylin	README.md
2017-06-17	2017-07-04	Rafa Hernández	app/.gitignore
2018-04-14	2018-08-16	Rafa Hernandez	app/build.gradle
2017-06-01	2017-06-01	Alexander Salas Bastidas	app/proguard-rules.pro
2018-04-04	2018-04-04	Rafa Hernandez	app/release/output.json
2017-11-01	2017-11-01	Rafa Hernandez	app/src/androidTest/java/org/flyve/mdm/agent/SplashTest.java
2018-06-25	2018-06-25	Rafa Hernandez	app/src/androidTest/java/org/flyve/mdm/agent/core/deeplink/DeeplinkModelTest.java
2018-01-16	2018-01-07	Rafa Hernandez	app/src/androidTest/java/org/flyve/mdm/agent/core/enrollment/EnrollmentHelperTest.java
2018-06-25	2018-06-25	Rafa Hernandez	app/src/androidTest/java/org/flyve/mdm/agent/core/enrollment/EnrollmentModelTest.java
2018-06-25	2018-06-25	Rafa Hernandez	app/src/androidTest/java/org/flyve/mdm/agent/core/permission/PermissionModelTest.java
2018-06-25	2018-06-25	Rafa Hernandez	app/src/androidTest/java/org/flyve/mdm/agent/core/user/UserModelTest.java
2018-06-25	2018-06-25	Rafa Hernandez	app/src/androidTest/java/org/flyve/mdm/agent/core/walkthrough/WalkthroughModelTest.java
2018-11-30	2018-11-30	Rafa Hernandez	app/src/fcm/AndroidManifest.xml
2018-11-22	2018-11-22	Rafa Hernandez	app/src/fcm/google-services.json
2019-01-28	2018-12-13	Rafa Hernandez	app/src/fcm/java/org/flyve/mdm/agent/MessagePolicies.java
2018-02-28	2018-01-05	Rafa Hernandez	app/src/fcm/java/org/flyve/mdm/agent/core/enrollment/Enrollment.java
2017-11-21	2017-07-13	Rafa Hernández	app/src/fcm/java/org/flyve/mdm/agent/core/enrollment/EnrollmentHelper.java
2018-02-24	2018-01-05	Rafa Hernandez	app/src/fcm/java/org/flyve/mdm/agent/core/enrollment/EnrollmentModel.java
2018-02-14	2018-01-05	Rafa Hernandez	app/src/fcm/java/org/flyve/mdm/agent/core/enrollment/EnrollmentPresenter.java
2018-10-05	2018-10-05	Rafa Hernandez	app/src/fcm/java/org/flyve/mdm/agent/firebase/InstanceIDService.java
2018-11-05	2018-10-05	Rafa Hernandez	app/src/fcm/java/org/flyve/mdm/agent/firebase/MessagingService.java
2017-11-08	2017-07-13	Rafa Hernández	app/src/fcm/java/org/flyve/mdm/agent/ui/EnrollmentActivity.java
2017-12-05	2017-11-01	Rafa Hernandez	app/src/fcm/java/org/flyve/mdm/agent/ui/FragmentMQTTConfig.java
2017-11-11	2017-06-30	Rafa Hernández	app/src/fcm/java/org/flyve/mdm/agent/ui/MDMAgent.java
2017-10-26	2017-07-30	Rafa Hernández	app/src/fcm/java/org/flyve/mdm/agent/ui/MainActivity.java
2018-11-07	2018-12-13	Rafa Hernandez	app/src/fcm/java/org/flyve/mdm/agent/ui/PushPoliciesActivity.java
2017-12-22	2017-07-26	Rafa Hernández	app/src/fcm/java/org/flyve/mdm/agent/ui/SplashActivity.java
2018-10-23	2018-10-10	Rafa Hernandez	app/src/fcm/res/layout/activity_push_policies.xml
2017-08-02	2017-07-18	Rafa Hernández	app/src/fcm/res/layout/fragment_information.xml
2018-04-03	2018-10-08	Rafa Hernandez	app/src/main/AndroidManifest.xml
2019-03-03	2019-12-10	Teclib	app/src/main/assets/about.properties
2018-05-09	2018-09-26	Rafa Hernandez	app/src/main/assets/setup.properties
2018-11-22	2018-11-22	Rafa Hernandez	app/src/main/google-services.json
2018-10-04	2018-02-13	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/adapter/ApplicationsAdapter.java
2018-01-03	2017-12-18	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/adapter/ConnectivityAdapter.java
2017-09-20	2017-07-30	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/adapter/DrawerAdapter.java
2018-04-13	2018-04-11	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/adapter/FilesAdapter.java
2017-09-29	2017-06-30	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/adapter/LogAdapter.java
2018-01-26	2017-12-19	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/adapter/PoliciesAdapter.java
2018-12-14	2018-12-14	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/adapter/TopicsAdapter.java
2018-08-25	2018-08-21	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/CommonErrorType.java
2017-10-13	2017-06-30	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/core/Routes.java
2018-01-25	2018-01-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/deeplink/Deeplink.java
2018-02-02	2018-01-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/deeplink/DeeplinkModel.java
2018-01-21	2018-01-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/deeplink/DeeplinkPresenter.java
2018-01-17	2018-01-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/deeplink/DeeplinkSchema.java
2018-03-30	2018-03-20	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/permission/Permission.java
2018-04-09	2018-03-20	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/permission/PermissionModel.java
2018-03-28	2018-03-20	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/permission/PermissionPresenter.java
2018-01-26	2018-01-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/user/User.java
2018-01-24	2018-01-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/user/UserModel.java
2018-01-22	2018-01-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/user/UserPresenter.java
2018-01-28	2018-01-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/user/UserSchema.java
2018-01-22	2018-01-04	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/walkthrough/Walkthrough.java
2017-11-23	2017-08-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/walkthrough/WalkthroughModel.java
2018-01-15	2018-01-05	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/walkthrough/WalkthroughPresenter.java
2018-01-15	2018-01-05	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/core/walkthrough/WalkthroughSchema.java
2018-08-29	2018-06-29	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/ApplicationData.java
2018-07-06	2018-06-29	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/FileData.java
2018-11-16	2018-11-16	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/MDMLogData.java
2018-03-31	2018-04-09	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/MqttData.java
2018-06-23	2018-05-15	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/PoliciesData.java
2018-12-17	2018-12-14	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/TopicsData.java
2018-07-11	2018-03-22	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/dao/ApplicationDao.java
2018-06-01	2018-04-09	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/dao/FileDao.java
2018-11-16	2018-11-16	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/dao/MDMLogDao.java
2018-04-07	2018-04-03	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/dao/MQTTDao.java
2018-05-07	2018-04-08	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/dao/PoliciesDao.java
2018-12-29	2018-12-14	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/dao/TopicsDao.java
2018-04-22	2018-03-22	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/entity/Application.java
2018-05-14	2018-04-09	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/entity/File.java
2018-11-16	2018-11-16	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/entity/MDMLog.java
2018-04-05	2018-04-03	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/entity/MQTT.java
2018-04-29	2018-04-08	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/entity/Policies.java
2018-12-14	2018-12-14	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/entity/Topics.java
2018-04-16	2018-03-22	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/database/setup/AppDataBase.java
2018-02-08	2018-01-08	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/data/localstorage/AppData.java
2017-09-04	2017-08-09	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/data/localstorage/LocalStorage.java
2017-10-04	2017-09-01	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/data/localstorage/SupervisorData.java
2017-09-23	2017-08-09	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/data/localstorage/UserData.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/AirplaneModePolicy.java
2018-09-08	2018-05-16	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/BasePolicies.java
2018-06-08	2018-05-16	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/BluetoothPolicy.java
2018-06-14	2018-05-15	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/CameraPolicy.java
2019-09-17	2019-08-28	Kita	app/src/main/java/org/flyve/mdm/agent/policies/DeployAppPolicy.java
2019-09-16	2019-08-28	Kita	app/src/main/java/org/flyve/mdm/agent/policies/DeployFilePolicy.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/GPSPolicy.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/HostpotTetheringPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/MaximumFailedPasswordForWipePolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/MaximumTimeToLockPolicy.java
2018-06-08	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/MobileLinePolicy.java
2018-06-09	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/NFCPolicy.java
2018-06-15	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordEnablePolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordMinLengthPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordMinLetterPolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordMinLowerCasePolicy.java
2018-06-12	2018-05-17	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/policies/PasswordMinNonLetterPolicy.java
