DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
1996-07-02	1996-06-22	Andrew Tridgell	install-sh
1996-07-23	1996-06-22	Andrew Tridgell	tech_report.tex
1998-03-25	1998-03-25	Andrew Tridgell	lib/dummy.in
1998-05-07	1998-05-07	Paul Mackerras	zlib/dummy.in
1998-08-01	1998-05-07	Paul Mackerras	zlib/trees.h
1999-06-14	1998-05-07	Paul Mackerras	zlib/trees.c
2000-01-27	1998-05-07	Paul Mackerras	zlib/deflate.h
2000-02-14	1998-05-22	Andrew Tridgell	zlib/README.rsync
2000-09-17	1998-05-09	Andrew Tridgell	params.c
2001-01-04	1998-10-30	Andrew Tridgell	support/rsyncstats
2001-02-02	1998-05-07	Paul Mackerras	zlib/inffast.h
2001-02-22	2001-02-22	Martin Pool	popt/COPYING
2001-03-22	2001-02-22	Martin Pool	popt/README
2001-04-10	2001-02-24	Martin Pool	popt/CHANGES
2001-08-20	1998-05-07	Paul Mackerras	zlib/zutil.h
2001-08-30	2001-08-30	Martin Pool	rsyncsh.txt
2001-10-18	2001-09-12	Martin Pool	rsync3.txt
2001-12-01	1998-05-07	Paul Mackerras	zlib/zutil.c
2001-12-02	2001-11-27	Martin Pool	lib/inet_pton.c
2001-12-16	1998-10-29	Andrew Tridgell	lib/mdfour.c
2002-01-26	2002-07-27	Wayne Davison	popt/findme.h
2002-02-05	2000-10-26	Martin Pool	csprotocol.txt
2002-02-25	2002-02-25	Martin Pool	doc/profile.txt
2002-03-02	2001-11-27	Martin Pool	lib/inet_ntop.c
2002-03-11	2002-03-11	Martin Pool	doc/README-SGML
2002-03-12	1998-05-07	Paul Mackerras	zlib/deflate.c
2002-03-26	2002-03-11	Martin Pool	doc/rsync.sgml
2002-04-03	2002-04-03	Martin Pool	Doxyfile
2002-04-16	2002-02-25	Martin Pool	testhelp/maketree.py
2002-05-08	2002-03-12	Martin Pool	testsuite/README.testsuite
2002-06-26	2001-12-14	Martin Pool	testsuite/symlink-ignore.test
2002-07-14	2002-07-27	Wayne Davison	popt/popt.c
2002-07-27	2002-07-27	Wayne Davison	popt/README.rsync
2002-08-03	2001-08-08	Martin Pool	m4/socklen_t.m4
2002-08-16	2001-02-22	Martin Pool	popt/findme.c
2002-08-27	2002-04-05	Martin Pool	testsuite/unsafe-links.test
2002-08-30	2002-07-27	Wayne Davison	popt/poptconfig.c
2002-09-06	2002-01-11	Martin Pool	testsuite/duplicates.test
2002-11-08	2002-06-22	John H Terpstra	packaging/solaris/build_pkg.sh
2002-12-06	2002-03-12	Martin Pool	testsuite/daemon-gzip-download.test
2003-01-04	2001-03-23	Andrew Tridgell	errcode.h
2003-01-28	2002-03-12	Martin Pool	testsuite/daemon-gzip-upload.test
2003-03-29	2003-12-17	Martin Pool	TODO
2003-04-19	2001-11-27	Martin Pool	lib/permstring.h
2003-04-29	2002-02-09	Martin Pool	testsuite/chgrp.test
2003-05-11	2001-09-06	Wayne Davison	testsuite/longdir.test
2003-06-14	2001-02-24	Wayne Davison	popt/poptint.h
2003-07-28	2003-07-06	Wayne Davison	wildtest.txt
2003-08-12	2002-04-08	Martin Pool	testsuite/unsafe-byname.test
2003-08-29	2002-07-27	Wayne Davison	popt/popthelp.c
2003-09-23	2002-07-27	Wayne Davison	popt/popt.h
2003-10-22	2002-03-25	Martin Pool	trimslash.c
2003-10-27	2002-03-25	Martin Pool	testsuite/trimslash.test
2003-10-29	1998-05-09	Wayne Davison	socket.c
2004-01-07	2001-08-29	Martin Pool	runtests.sh
2004-01-12	1996-06-22	Wayne Davison	match.c
2004-03-22	1998-05-13	Wayne Davison	connection.c
2004-04-11	2002-03-25	Wayne Davison	getgroups.c
2004-04-22	2006-11-09	Wayne Davison	popt/poptparse.c
2004-04-28	2001-08-21	Martin Pool	shconfig.in
2004-07-08	2001-08-29	Martin Pool	testsuite/ssh-basic.test
2004-07-21	2001-08-16	Wayne Davison	testsuite/hands.test
2004-07-26	2003-07-06	Wayne Davison	wildtest.c
2004-08-30	2003-01-09	Wayne Davison	access.c
2004-09-01	2002-04-08	Martin Pool	pipe.c
2004-09-21	2006-04-25	Wayne Davison	lib/permstring.c
2004-11-27	2006-11-09	Wayne Davison	popt/system.h
2004-12-14	2002-04-08	Martin Pool	t_unsafe.c
2004-12-17	2003-07-05	Wayne Davison	testsuite/wildmatch.test
2005-01-04	2006-01-02	Wayne Davison	lib/wildmatch.c
2005-01-11	2005-01-11	Wayne Davison	support/Makefile
2005-01-28	2004-07-23	Wayne Davison	testsuite/batch-mode.test
2005-02-10	2005-01-11	Wayne Davison	support/savetransfer.c
2005-03-01	2006-01-02	Wayne Davison	lib/wildmatch.h
2005-03-08	2004-08-09	Wayne Davison	testsuite/chmod.test
2005-03-26	2005-07-07	Wayne Davison	zlib/inffixed.h
2005-03-31	1998-05-07	Wayne Davison	zlib/README
2005-04-27	2005-07-07	Wayne Davison	zlib/crc32.c
2005-05-17	2011-05-30	Wayne Davison	lib/snprintf.c
2005-06-05	2004-07-21	Wayne Davison	testsuite/compare-dest.test
2005-06-23	2004-08-09	Wayne Davison	getfsdev.c
2005-07-13	2005-07-07	Wayne Davison	zlib/crc32.h
2005-07-30	2005-07-07	Wayne Davison	zlib/inftrees.c
2005-09-09	2013-06-10	Wayne Davison	zlib/zconf.h
2005-10-23	2004-02-10	J.W. Schultz	lib/pool_alloc.3
2005-10-23	2005-05-13	Wayne Davison	support/cvs2includes
2005-10-26	1998-05-09	Wayne Davison	loadparm.c
2005-11-26	2004-09-20	Wayne Davison	testsuite/backup.test
2005-11-28	2005-07-07	Wayne Davison	zlib/compress.c
2006-01-02	2002-01-11	Wayne Davison	testsuite/hardlinks.test
2006-01-13	1998-07-25	Wayne Davison	sender.c
2006-01-19	2008-09-01	Wayne Davison	lib/compat.c
2006-01-21	2008-03-21	Wayne Davison	util.c
2006-02-02	2010-10-12	Wayne Davison	authenticate.c
2006-02-05	2004-02-10	J.W. Schultz	lib/pool_alloc.h
2006-03-03	2006-02-03	Wayne Davison	testsuite/executability.test
2006-03-10	2005-10-03	Wayne Davison	support/logfilter
2006-03-23	2003-04-22	Wayne Davison	testsuite/exclude.test
2006-04-03	2005-07-07	Wayne Davison	zlib/inflate.c
2006-04-23	2004-02-10	Wayne Davison	lib/pool_alloc.c
2006-04-29	2006-03-21	Wayne Davison	support/file-attr-restore
2006-05-13	2005-11-07	Wayne Davison	testsuite/chmod-option.test
2006-05-17	1998-05-27	Wayne Davison	fileio.c
2006-06-05	2008-04-15	Wayne Davison	README.md
2006-06-09	1996-06-22	Wayne Davison	rsync.h
2006-06-20	2001-09-06	Wayne Davison	testsuite/rsync.fns
2006-07-05	2006-11-19	Wayne Davison	log.c
2006-07-13	2005-07-07	Wayne Davison	zlib/inftrees.h
2006-07-14	1996-07-03	Wayne Davison	token.c
2006-07-14	2005-11-07	Wayne Davison	chmod.c
2006-07-24	2008-07-15	Wayne Davison	testsuite/00-hello.test
2006-08-12	2006-01-30	Wayne Davison	support/files-to-excludes
2006-08-16	2005-02-20	Wayne Davison	testsuite/delete.test
2006-08-23	1996-06-22	Wayne Davison	main.c
2006-08-25	2013-06-10	Wayne Davison	zlib/ChangeLog
2006-08-30	2007-03-18	Wayne Davison	testsuite/merge.test
2006-09-16	2005-07-07	Wayne Davison	zlib/inflate.h
2006-10-11	2013-06-10	Wayne Davison	zlib/zlib.h
2006-10-17	2002-04-08	Wayne Davison	progress.c
2006-10-17	2005-01-25	Wayne Davison	exclude.c
2006-10-21	2005-01-19	Wayne Davison	support/mnt-excl
2006-10-21	2007-07-07	Wayne Davison	COPYING
2006-11-23	2005-05-27	Wayne Davison	testsuite/relative.test
2006-11-24	2005-03-14	Wayne Davison	testsuite/fuzzy.test
2006-12-08	2005-07-22	Wayne Davison	zlib/adler32.c
2006-12-28	1998-07-25	Wayne Davison	cleanup.c
2007-01-14	2008-10-11	Wayne Davison	support/atomic-rsync
2007-01-22	1998-07-25	Wayne Davison	receiver.c
2007-01-23	2005-06-09	Wayne Davison	testsuite/itemize.test
2007-03-03	2006-12-28	Wayne Davison	flist.c
2007-05-14	2005-07-07	Wayne Davison	zlib/inffast.c
2007-06-07	2007-03-11	Wayne Davison	testsuite/default-acls.test
2007-06-24	2007-04-24	Wayne Davison	lib/sysacls.h
2007-06-28	2007-03-11	Wayne Davison	io.h
2007-07-26	2002-04-08	Wayne Davison	t_stub.c
2007-08-07	2007-03-11	Wayne Davison	lib/sysacls.c
2007-08-31	2006-12-09	Wayne Davison	hlink.c
2007-09-14	2007-09-29	Wayne Davison	testsuite/acls.test
2007-09-22	2007-03-11	Wayne Davison	acls.c
2007-10-08	2006-12-08	Wayne Davison	generator.c
2007-11-02	2007-11-02	Wayne Davison	lib/addrinfo.h
2007-11-05	2007-11-02	Wayne Davison	lib/getaddrinfo.c
2007-11-05	2008-05-31	Wayne Davison	testsuite/daemon.test
2007-11-15	2005-06-17	Wayne Davison	support/rrsync
2008-01-22	2009-04-11	Wayne Davison	backup.c
2008-02-11	2007-11-27	Wayne Davison	support/munge-symlinks
2008-02-13	2004-08-09	Wayne Davison	testsuite/chmod-temp-dir.test
2008-02-17	2007-03-18	Wayne Davison	lib/md5.c
2008-03-01	2009-10-17	Wayne Davison	io.c
2008-03-21	2008-03-21	Wayne Davison	packaging/lsb/rsync.xinetd
2008-03-30	2020-06-17	Wayne Davison	config.guess
2008-04-26	2007-02-03	Wayne Davison	rounding.c
2008-05-11	2007-04-24	Wayne Davison	testsuite/devices.test
2008-07-01	2009-11-23	Wayne Davison	rsync.c
2008-08-13	2005-06-16	Wayne Davison	packaging/cull_options
2008-09-06	2002-02-09	Wayne Davison	testsuite/chown.test
2008-09-29	2008-08-14	Matt McCutchen	support/instant-rsyncd
2008-10-11	2007-04-07	Wayne Davison	lib/sysxattrs.c
2008-10-14	2007-04-07	Wayne Davison	lib/sysxattrs.h
2008-10-23	2006-02-04	Wayne Davison	testsuite/dir-sgid.test
2008-10-24	2008-06-24	Wayne Davison	support/deny-rsync
2008-10-27	2007-04-24	Wayne Davison	tls.c
2008-11-08	2008-09-02	Wayne Davison	inums.h
2008-11-27	2001-11-23	Wayne Davison	configure.ac
2009-01-01	2008-07-14	Wayne Davison	options.c
2009-01-31	2009-01-03	Wayne Davison	delete.c
2009-02-20	1998-05-10	Wayne Davison	clientserver.c
2009-03-09	2016-10-10	Wayne Davison	syscall.c
2009-06-20	2007-04-07	Wayne Davison	xattrs.c
2009-06-28	2008-11-16	Wayne Davison	uidlist.c
2009-07-01	2007-09-08	Wayne Davison	support/lsh.sh
2009-07-07	2008-11-10	Wayne Davison	testsuite/files-from.test
2009-08-11	2009-10-14	Wayne Davison	byteorder.h
2009-08-25	2008-11-16	Wayne Davison	support/mapfrom
2009-08-25	2008-11-16	Wayne Davison	support/mapto
2009-09-07	2020-05-26	Wayne Davison	batch.c
