DATE(MODE),DATE(MEAN),AUTHOR,PATH
2019-03-21,2019-04-24,Anna.Lyons,.cmake-format.yaml
2020-08-11,2020-08-11,luke.mondy,.github/workflows/compilation-checks.yml
2020-06-17,2020-07-30,gerwin.klein,.github/workflows/pr.yml
2020-05-04,2020-05-17,gerwin.klein,.github/workflows/push.yml
2014-07-19,2017-03-10,gerwin.klein,.gitignore
2017-08-28,2018-08-17,Anna.Lyons,.licenseignore
2020-03-03,2020-03-03,gerwin.klein,.reuse/dep5
2014-07-18,2017-06-06,gerwin.klein,CAVEATS-generic.md
2014-07-18,2017-02-24,gatekeeper,CAVEATS-ia32.md
2020-10-30,2020-01-09,bamboo,CHANGES
2019-03-21,2018-06-03,Adrian.Danis,CMakeLists.txt
2020-04-01,2020-04-01,gerwin.klein,CODE_OF_CONDUCT.md
2020-03-19,2018-07-12,gerwin.klein,CONTRIBUTING.md
2020-03-09,2018-01-04,gerwin.klein,CONTRIBUTORS.md
2019-09-13,2019-09-24,Kent.Mcleod,FindseL4.cmake
2020-04-01,2020-04-01,gerwin.klein,LICENSE.md
2020-03-03,2020-03-03,gerwin.klein,LICENSES/Apache-2.0.txt
2020-03-03,2020-03-03,gerwin.klein,LICENSES/BSD-2-Clause.txt
2020-03-03,2020-03-03,gerwin.klein,LICENSES/BSD-3-Clause.txt
2020-03-03,2020-03-03,gerwin.klein,LICENSES/CC-BY-SA-4.0.txt
2020-03-03,2020-03-03,gerwin.klein,LICENSES/GPL-2.0-only.txt
2020-03-03,2020-03-03,gerwin.klein,LICENSES/GPL-2.0-or-later.txt
2020-03-03,2020-03-03,gerwin.klein,LICENSES/LPPL-1.3c.txt
2020-05-06,2020-05-06,saer.debel,LICENSES/MIT.txt
2020-03-03,2020-03-03,gerwin.klein,LICENSES/SHL-0.51.txt
2020-04-03,2018-01-06,Kent.Mcleod,README.md
2021-06-10,2021-06-10,bamboo,VERSION
2017-03-17,2018-08-01,Adrian.Danis,config.cmake
2017-09-13,2018-06-14,Adrian.Danis,configs/ARM_HYP_verified.cmake
2019-07-25,2019-09-16,ed.pierzchalski,configs/ARM_MCS_verified.cmake
2017-03-17,2018-02-23,Adrian.Danis,configs/ARM_verified.cmake
2020-08-06,2020-08-12,Matthew.Brecknell,configs/RISCV64_MCS_verified.cmake
2018-06-14,2019-01-25,Adrian.Danis,configs/RISCV64_verified.cmake
2017-09-13,2018-07-04,Adrian.Danis,configs/X64_verified.cmake
2019-05-07,2019-08-13,Kent.Mcleod,configs/seL4Config.cmake
2019-12-04,2019-05-03,Kent.Mcleod,gcc.cmake
2014-07-18,2014-07-22,gatekeeper,gdb-macros
2016-10-28,2017-11-16,Anna.Lyons,include/32/mode/api/ipc_buffer.h
2017-03-17,2018-02-02,Adrian.Danis,include/32/mode/config.cmake
2017-11-07,2018-08-18,Anna.Lyons,include/32/mode/stdint.h
2016-11-01,2017-02-28,Anna.Lyons,include/32/mode/util.h
2016-10-28,2017-08-30,Anna.Lyons,include/64/mode/api/ipc_buffer.h
2017-03-17,2018-02-02,Adrian.Danis,include/64/mode/config.cmake
2017-11-07,2018-07-21,Anna.Lyons,include/64/mode/stdint.h
2017-11-16,2018-02-10,Anna.Lyons,include/64/mode/util.h
2014-07-18,2015-07-28,gatekeeper,include/api.h
2017-05-30,2017-02-20,Anna.Lyons,include/api/debug.h
2014-07-18,2016-01-14,gatekeeper,include/api/failures.h
2014-07-18,2016-06-14,gatekeeper,include/api/faults.h
2014-07-18,2015-12-15,gatekeeper,include/api/syscall.h
2014-07-18,2016-02-01,gatekeeper,include/api/types.h
2016-01-16,2016-09-11,azarrabi,include/arch/arm/arch/32/mode/fastpath/fastpath.h
2020-05-06,2019-07-22,curtis.millar,include/arch/arm/arch/32/mode/hardware.h
2017-01-16,2018-01-04,hesham.almatary,include/arch/arm/arch/32/mode/kernel/stack.h
2017-01-30,2017-05-10,Adrian.Danis,include/arch/arm/arch/32/mode/kernel/thread.h
2017-01-20,2017-03-18,azarrabi,include/arch/arm/arch/32/mode/kernel/vspace.h
2016-01-16,2017-02-07,azarrabi,include/arch/arm/arch/32/mode/machine.h
2016-01-16,2016-05-22,azarrabi,include/arch/arm/arch/32/mode/machine/debug.h
2017-06-13,2017-12-15,hesham.almatary,include/arch/arm/arch/32/mode/machine/fpu.h
2016-01-16,2016-06-01,azarrabi,include/arch/arm/arch/32/mode/machine/hardware.h
2016-01-16,2017-01-12,azarrabi,include/arch/arm/arch/32/mode/machine/registerset.h
2019-05-23,2018-12-02,Anna.Lyons,include/arch/arm/arch/32/mode/machine/timer.h
2016-03-03,2016-11-24,yanyan.shen,include/arch/arm/arch/32/mode/machine_pl2.h
2016-01-16,2016-12-20,azarrabi,include/arch/arm/arch/32/mode/model/statedata.h
2016-01-16,2016-04-10,Adrian.Danis,include/arch/arm/arch/32/mode/object/structures.bf
2016-01-16,2016-05-08,azarrabi,include/arch/arm/arch/32/mode/object/structures.h
2017-01-17,2017-09-02,hesham.almatary,include/arch/arm/arch/32/mode/smp/ipi.h
2017-02-20,2017-09-12,hesham.almatary,include/arch/arm/arch/32/mode/smp/smp.h
2016-10-07,2017-09-24,azarrabi,include/arch/arm/arch/32/mode/types.h
2017-01-18,2017-06-03,azarrabi,include/arch/arm/arch/64/mode/fastpath/fastpath.h
2020-05-06,2019-11-09,curtis.millar,include/arch/arm/arch/64/mode/hardware.h
2017-01-12,2017-12-09,azarrabi,include/arch/arm/arch/64/mode/kernel/stack.h
2017-01-30,2017-10-18,Adrian.Danis,include/arch/arm/arch/64/mode/kernel/thread.h
2020-06-15,2019-05-01,qian.ge,include/arch/arm/arch/64/mode/kernel/vspace.h
2017-01-18,2017-11-19,azarrabi,include/arch/arm/arch/64/mode/machine.h
2017-01-12,2018-01-31,azarrabi,include/arch/arm/arch/64/mode/machine/debug.h
2017-02-24,2017-09-10,azarrabi,include/arch/arm/arch/64/mode/machine/fpu.h
2017-01-18,2017-04-19,azarrabi,include/arch/arm/arch/64/mode/machine/hardware.h
2017-01-18,2017-06-20,azarrabi,include/arch/arm/arch/64/mode/machine/registerset.h
2019-05-23,2019-02-06,Anna.Lyons,include/arch/arm/arch/64/mode/machine/timer.h
2019-03-21,2018-07-06,curtis.millar,include/arch/arm/arch/64/mode/machine_pl2.h
2017-01-18,2018-04-19,azarrabi,include/arch/arm/arch/64/mode/model/statedata.h
2017-01-18,2017-10-18,azarrabi,include/arch/arm/arch/64/mode/object/structures.bf
2017-01-18,2017-07-26,azarrabi,include/arch/arm/arch/64/mode/object/structures.h
2017-01-17,2017-08-22,hesham.almatary,include/arch/arm/arch/64/mode/smp/ipi.h
2017-02-17,2017-11-18,yanyan.shen,include/arch/arm/arch/64/mode/smp/smp.h
2017-01-12,2018-01-23,azarrabi,include/arch/arm/arch/64/mode/types.h
2014-07-18,2015-12-13,gatekeeper,include/arch/arm/arch/api/types.h
2019-06-13,2018-04-04,Anna.Lyons,include/arch/arm/arch/benchmark.h
2019-10-08,2019-11-04,simon.shields,include/arch/arm/arch/bootinfo.h
2014-07-18,2016-08-16,gatekeeper,include/arch/arm/arch/fastpath/fastpath.h
2014-07-18,2016-02-15,gatekeeper,include/arch/arm/arch/kernel/boot.h
2014-07-18,2015-07-22,gatekeeper,include/arch/arm/arch/kernel/thread.h
2016-07-06,2017-04-17,hesham.almatary,include/arch/arm/arch/kernel/traps.h
2017-01-18,2017-01-10,azarrabi,include/arch/arm/arch/kernel/vspace.h
2014-07-18,2016-10-06,gatekeeper,include/arch/arm/arch/linker.h
2014-07-18,2016-07-07,gatekeeper,include/arch/arm/arch/machine.h
2020-09-16,2019-05-01,Jingyao.Zhou,include/arch/arm/arch/machine/capdl.h
2016-06-23,2016-11-17,kofi.dokuatuah,include/arch/arm/arch/machine/debug.h
2017-03-23,2017-05-31,kofidoku.atuah,include/arch/arm/arch/machine/debug_conf.h
2017-02-24,2018-02-09,azarrabi,include/arch/arm/arch/machine/fpu.h
2019-02-21,2019-07-13,Kent.Mcleod,include/arch/arm/arch/machine/gic_common.h
2016-04-27,2017-05-26,Anna.Lyons,include/arch/arm/arch/machine/gic_v2.h
2018-03-23,2018-08-07,jesse.millwood,include/arch/arm/arch/machine/gic_v3.h
2017-01-18,2017-01-10,azarrabi,include/arch/arm/arch/machine/hardware.h
2014-07-18,2015-03-27,gatekeeper,include/arch/arm/arch/machine/l2c_310.h
2014-07-18,2015-10-28,gatekeeper,include/arch/arm/arch/machine/registerset.h
2019-05-23,2018-12-11,Anna.Lyons,include/arch/arm/arch/machine/timer.h
2017-03-15,2017-11-26,yanyan.shen,include/arch/arm/arch/machine/tlb.h
2017-10-31,2017-10-07,heshamelmatary,include/arch/arm/arch/model/smp.h
2017-01-17,2017-10-05,hesham.almatary,include/arch/arm/arch/model/statedata.h
2019-03-08,2017-12-25,sylvain.gauthier,include/arch/arm/arch/object/interrupt.h
2016-05-30,2017-03-04,yanyan.shen,include/arch/arm/arch/object/iospace.h
2014-07-18,2015-10-21,gatekeeper,include/arch/arm/arch/object/objecttype.h
2019-09-20,2019-12-09,qian.ge,include/arch/arm/arch/object/smmu.h
2014-07-18,2015-07-24,gatekeeper,include/arch/arm/arch/object/structures.bf
