DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2018-05-13	2018-05-13	Javier Fernandez-Sanguino	README.translators
2018-03-21	2018-03-18	Marcos Fouces	bin/build-html
2018-03-18	2018-03-18	Marcos Fouces	bin/common.sh
2018-03-20	2018-03-20	Marcos Fouces	de-DE/01_intro.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/02_before-begin.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/03_before-install.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/04_after-install.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/05_services.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/06_automatic.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/07_infrastructure.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/08_sec-tools.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/09_developer.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/10_before-compromise.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/11_after-compromise.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/12_faq.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/99_appendix.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/Author_Group.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/Book_Info.po
2018-03-20	2018-03-20	Marcos Fouces	de-DE/Revision_History.po
2018-04-12	2018-03-20	Marcos Fouces	de-DE/Revision_History.xml
2005-06-27	2005-03-25	Jens Seidel	de-DE/old_de/after-compromise.sgml
2006-04-26	2005-03-10	Jens Seidel	de-DE/old_de/after-install.sgml
2005-06-11	2005-03-10	Jens Seidel	de-DE/old_de/appendix.sgml
2005-05-26	2005-03-10	Jens Seidel	de-DE/old_de/automatic.sgml
2004-11-15	2004-06-04	Javier Fernández-Sanguino Peña	de-DE/old_de/before-begin.sgml
2006-10-01	2005-03-13	Jens Seidel	de-DE/old_de/before-compromise.sgml
2005-06-04	2004-06-04	Javier Fernández-Sanguino Peña	de-DE/old_de/before-install.sgml
2005-12-28	2005-03-10	Jens Seidel	de-DE/old_de/copyleft.sgml
2015-05-16	2015-05-16	Simon Brandmair	de-DE/old_de/de.po
2006-07-04	2006-06-19	Jens Seidel	de-DE/old_de/developer.sgml
2005-03-02	2005-03-20	Jens Seidel	de-DE/old_de/faq.sgml
2005-07-25	2005-04-27	Jens Seidel	de-DE/old_de/infrastructure.sgml
2005-12-24	2004-06-04	Javier Fernández-Sanguino Peña	de-DE/old_de/intro.sgml
2005-04-06	2005-03-23	Jens Seidel	de-DE/old_de/sec-tools.sgml
2005-09-04	2005-03-20	Jens Seidel	de-DE/old_de/services.sgml
