DATE(MODE),DATE(MEAN),AUTHOR,PATH
2017-12-06,2017-12-06,mistachkin,.fossil-settings/empty-dirs
2017-12-06,2017-12-06,mistachkin,.fossil-settings/ignore-glob
2019-03-19,2019-03-19,drh,LICENSE.md
2010-07-07,2011-04-26,drh,Makefile.in
2002-08-14,2004-08-09,drh,Makefile.linux-gcc
2011-06-17,2014-11-09,mistachkin,Makefile.msc
2014-02-14,2016-04-16,drh,README.md
2022-11-23,2022-11-23,>,VERSION
2008-05-06,2006-04-10,mlcreech,aclocal.m4
2013-05-28,2013-05-28,dan,autoconf/INSTALL
2013-05-28,2014-12-26,dan,autoconf/Makefile.am
2018-05-31,2018-05-31,drh,autoconf/Makefile.fallback
2016-01-23,2016-04-09,mistachkin,autoconf/Makefile.msc
2015-01-16,2014-08-06,drh,autoconf/README.first
2016-01-24,2015-07-15,mistachkin,autoconf/README.txt
2013-05-28,2016-07-09,dan,autoconf/configure.ac
2013-05-28,2015-05-20,dan,autoconf/tea/Makefile.in
2013-05-28,2013-05-28,dan,autoconf/tea/README
2013-05-28,2013-05-28,dan,autoconf/tea/aclocal.m4
2013-05-28,2015-10-24,dan,autoconf/tea/configure.ac
2013-05-28,2013-06-30,dan,autoconf/tea/doc/sqlite3.n
2013-05-28,2013-05-28,dan,autoconf/tea/license.terms
2022-07-08,2019-10-13,Dan,autoconf/tea/pkgIndex.tcl.in
2014-02-14,2014-01-18,drh,autoconf/tea/tclconfig/install-sh
2013-05-28,2014-06-29,dan,autoconf/tea/tclconfig/tcl.m4
2013-05-28,2014-01-29,dan,autoconf/tea/win/makefile.vc
2013-05-28,2014-12-30,dan,autoconf/tea/win/nmakehlp.c
2013-05-28,2013-05-28,dan,autoconf/tea/win/rules.vc
2001-09-28,2008-11-19,drh,config.guess
2019-06-08,2011-11-24,dan,config.sub
2008-05-06,2008-02-03,drh,configure
2001-09-28,2008-06-11,drh,configure.ac
2005-09-24,2005-09-24,drh,contrib/sqlitecon.tcl
2018-07-17,2018-07-17,dan,doc/F2FS.txt
2022-01-11,2022-01-10,>,doc/json-enhancements.md
2000-05-30,2010-08-14,drh,doc/lemon.html
2010-05-06,2010-05-17,drh,doc/pager-invariants.txt
2020-01-10,2020-01-10,drh,doc/trusted-schema.md
2020-11-21,2020-11-21,dan,doc/vdbesort-memory.md
2010-05-06,2010-05-07,drh,doc/vfs-shm.txt
2020-06-17,2020-06-17,dan,doc/wal-lock.md
2017-03-16,2017-03-16,drh,ext/README.md
2009-04-24,2009-06-18,danielk1977,ext/async/README.txt
2009-04-24,2009-05-18,danielk1977,ext/async/sqlite3async.c
2009-04-24,2009-05-07,danielk1977,ext/async/sqlite3async.h
2017-04-11,2017-04-14,dan,ext/expert/README.md
2017-04-08,2017-04-14,dan,ext/expert/expert.c
2016-02-23,2017-11-26,dan,ext/expert/expert1.test
2017-04-19,2017-04-19,dan,ext/expert/sqlite3expert.c
2017-04-12,2017-04-29,dan,ext/expert/sqlite3expert.h
2017-04-11,2017-04-18,dan,ext/expert/test_expert.c
2006-08-23,2006-08-23,drh,ext/fts1/README.txt
2006-08-24,2006-08-24,adamd,ext/fts1/ft_hash.c
2006-08-24,2006-09-15,adamd,ext/fts1/ft_hash.h
2006-09-01,2006-09-26,drh,ext/fts1/fts1.c
2006-09-01,2006-09-02,drh,ext/fts1/fts1.h
2006-09-01,2006-09-01,drh,ext/fts1/fts1_hash.c
2006-09-01,2006-09-22,drh,ext/fts1/fts1_hash.h
2006-10-02,2006-10-04,drh,ext/fts1/fts1_porter.c
