DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2004-12-20	2006-01-28	Kay Sievers	src/udev/scsi_id/README
2005-08-26	2003-11-13	greg@kroah.com	src/udev/scsi_id/scsi.h
2007-08-25	2003-11-13	greg@kroah.com	src/udev/scsi_id/scsi_serial.c
2007-10-03	2003-12-07	patmans@us.ibm.com	src/udev/scsi_id/scsi_id.h
2008-02-18	2003-11-13	greg@kroah.com	src/udev/scsi_id/scsi_id.c
2009-03-29	2008-06-26	Kay Sievers	rules.d/60-persistent-v4l.rules
2010-02-03	2010-02-03	Lennart Poettering	LICENSE.GPL2
2010-02-12	2009-06-16	Lennart Poettering	rules.d/60-persistent-alsa.rules
2010-02-26	2009-11-30	Kay Sievers	rules.d/60-persistent-input.rules
2010-03-28	2010-06-03	Lennart Poettering	test/units/d.service
2010-03-28	2010-06-03	Lennart Poettering	test/units/e.service
2010-04-06	2010-06-03	Lennart Poettering	test/units/a.service
2010-04-19	2010-06-03	Lennart Poettering	test/units/b.service
2010-04-19	2010-06-03	Lennart Poettering	test/units/c.service
2010-04-19	2010-06-03	Lennart Poettering	test/units/g.service
2010-04-20	2010-06-03	Lennart Poettering	test/units/h.service
2010-05-07	2010-06-03	Lennart Poettering	test/units/f.service
2010-06-16	2005-08-30	Kay Sievers	man/udev.xml
2010-07-28	2009-04-26	Kay Sievers	src/libudev/libudev.h
2010-08-17	2009-06-16	Lennart Poettering	rules.d/78-sound-card.rules
2010-08-18	2010-04-04	Lennart Poettering	src/shared/initreq.h
2010-09-10	2010-06-23	Maxim Levitsky	rules.d/75-probe_mtd.rules
2010-10-11	2010-04-16	Lennart Poettering	src/shared/linux/auto_dev-ioctl.h
2010-10-30	2009-06-16	Dan Williams	rules.d/75-net-description.rules
2011-01-17	2010-01-30	Lennart Poettering	src/basic/ioprio.h
2011-06-20	2010-06-23	Maxim Levitsky	src/udev/mtd_probe/mtd_probe.h
2011-07-22	2009-11-04	David Zeuthen	src/udev/ata_id/ata_id.c
2011-08-27	2010-06-22	Lennart Poettering	man/sd_booted.xml
2011-09-06	2010-06-23	Lennart Poettering	man/telinit.xml
2011-09-13	2017-11-21	Kay Sievers	rules.d/60-persistent-storage-tape.rules
2011-09-21	2008-08-27	Kay Sievers	src/libudev/libudev.c
2011-09-25	2008-04-09	Kay Sievers	src/udev/cdrom_id/cdrom_id.c
2011-11-09	2011-10-07	Lennart Poettering	src/journal/lookup3.c
2011-11-21	2010-06-23	Lennart Poettering	man/shutdown.xml
2011-11-21	2010-08-19	Lennart Poettering	units/systemd-modules-load.service.in
2011-11-22	2010-05-16	Lennart Poettering	units/halt.target
2011-11-30	2011-04-16	Lennart Poettering	src/hostname/org.freedesktop.hostname1.conf
2011-12-06	2010-08-19	Lennart Poettering	src/test/test-hostname.c
2011-12-07	2010-01-27	Lennart Poettering	src/core/target.c
2011-12-07	2010-05-24	Lennart Poettering	src/core/path.h
2012-01-21	2011-06-15	Lennart Poettering	src/locale/org.freedesktop.locale1.conf
2012-01-21	2011-06-15	Lennart Poettering	src/timedate/org.freedesktop.timedate1.conf
2012-01-27	2010-07-12	Lennart Poettering	units/emergency.target
2012-01-27	2012-04-25	Michal Schmidt	src/test/test-job-type.c
2012-02-05	2011-09-28	Lennart Poettering	src/locale/kbd-model-map
2012-02-08	2010-10-13	Lennart Poettering	units/kexec.target
2012-02-10	2010-05-16	Lennart Poettering	units/multi-user.target
2012-02-10	2010-05-16	Lennart Poettering	units/shutdown.target
2012-02-25	2010-01-29	Lennart Poettering	src/basic/ratelimit.c
2012-02-29	2010-09-21	Lennart Poettering	units/systemd-tmpfiles-clean.timer
2012-03-04	2010-05-16	Lennart Poettering	units/poweroff.target
2012-03-04	2010-05-16	Lennart Poettering	units/reboot.target
2012-03-08	2011-05-23	Lennart Poettering	src/login/logind-device.h
2012-03-09	2010-07-10	Lennart Poettering	units/umount.target
2012-03-12	2010-05-16	Lennart Poettering	units/rpcbind.target
2012-03-26	2010-10-14	Lennart Poettering	units/final.target
2012-03-28	2010-06-16	Tom Gundersen	units/systemd-halt.service
2012-04-01	2010-05-16	Lennart Poettering	units/remote-fs.target
2012-04-03	2012-04-03	Kay Sievers	src/udev/.vimrc
2012-04-04	2010-05-16	Lennart Poettering	units/rescue.target
2012-04-18	2010-06-22	Lennart Poettering	man/sd-daemon.xml
2012-04-20	2010-07-13	Lennart Poettering	units/bluetooth.target
2012-04-20	2010-07-13	Lennart Poettering	units/printer.target
2012-04-21	2010-07-16	Lennart Poettering	units/smartcard.target
2012-04-23	2010-11-21	Lennart Poettering	man/modules-load.d.xml
2012-04-24	2010-05-16	Lennart Poettering	units/nss-lookup.target
2012-04-26	2010-05-18	Lennart Poettering	units/dev-hugepages.mount
2012-04-28	2012-04-11	Lennart Poettering	LICENSE.LGPL2.1
2012-04-29	2010-08-17	Lennart Poettering	units/systemd-sysctl.service.in
2012-05-02	2010-08-20	Lennart Poettering	units/systemd-remount-fs.service.in
