DATE(MODE),DATE(MEAN),AUTHOR,PATH
2003-11-14,2004-12-21,greg,src/udev/scsi_id/README
2003-11-14,2005-08-27,greg,src/udev/scsi_id/scsi.h
2003-11-14,2007-11-20,greg,src/udev/scsi_id/scsi_serial.c
2003-11-14,2010-07-11,greg,src/udev/scsi_id/scsi_id.c
2003-12-08,2007-12-19,patmans,src/udev/scsi_id/scsi_id.h
2005-08-30,2014-01-08,kay,man/systemd-udevd.service.xml
2005-08-31,2010-11-26,kay,man/udev.xml
2007-08-10,2015-04-26,kay,rules.d/50-udev-default.rules.in
2007-09-25,2012-05-19,kay,rules.d/60-persistent-storage-tape.rules
2007-11-09,2015-06-07,kay,man/udevadm.xml
2008-06-27,2009-03-30,kay,rules.d/60-persistent-v4l.rules
2008-08-28,2011-09-22,kay,src/libudev/libudev.c
2008-10-27,2013-02-22,lennart,src/nss-myhostname/nss-myhostname.c
2008-11-06,2011-06-19,kay,src/libudev/libudev-util.c
2009-04-26,2010-07-30,kay,src/libudev/libudev.h
2009-06-16,2012-08-19,kay,src/libudev/libudev-queue.c
2009-06-16,2013-04-07,kay,src/libudev/libudev-monitor.c
2009-06-17,2010-02-13,lennart,rules.d/60-persistent-alsa.rules
2009-06-17,2010-08-18,lennart,rules.d/78-sound-card.rules
2009-06-17,2010-10-31,dcbw,rules.d/75-net-description.rules
2009-06-17,2012-10-25,kay,src/udev/v4l_id/v4l_id.c
2009-11-05,2011-09-22,david,src/udev/ata_id/ata_id.c
2009-11-18,2014-08-17,lennart,src/basic/list.h
2009-11-19,2016-06-04,lennart,src/shared/conf-parser.c
2009-11-20,2016-01-04,lennart,src/core/load-fragment.c
2009-12-01,2010-09-16,kay,rules.d/60-persistent-input.rules
2010-01-21,2016-10-26,lennart,src/basic/log.h
2010-01-23,2012-11-10,lennart,src/core/automount.h
2010-01-23,2013-05-24,lennart,src/core/socket.h
2010-01-23,2014-08-13,lennart,src/core/service.h
2010-01-23,2015-05-30,lennart,src/core/device.h
2010-01-23,2016-08-10,lennart,src/core/execute.h
2010-01-26,2014-08-28,lennart,src/core/socket.c
2010-01-26,2015-05-27,lennart,src/core/service.c
2010-01-27,2012-07-04,lennart,src/core/target.c
2010-01-27,2013-02-10,lennart,src/core/target.h
2010-01-27,2016-11-30,lennart,src/core/unit.h
2010-01-29,2013-10-16,lennart,src/basic/ratelimit.c
2010-01-29,2016-04-29,lennart,src/basic/ratelimit.h
2010-02-01,2015-09-10,lennart,src/core/dbus.h
2010-02-03,2010-02-03,lennart,LICENSE.GPL2
2010-04-05,2010-08-20,lennart,src/shared/initreq.h
2010-04-05,2013-02-26,lennart,src/initctl/initctl.c
2010-04-11,2013-01-27,lennart,src/core/mount.h
2010-04-11,2013-02-16,lennart,src/shared/utmp-wtmp.c
2010-04-11,2013-02-27,lennart,src/shared/mount-setup.h
2010-04-11,2013-03-11,lennart,src/core/org.freedesktop.systemd1.conf
2010-04-11,2015-03-20,lennart,src/core/mount.c
2010-04-15,2018-09-11,lennart,src/shared/specifier.c
2010-04-17,2010-10-30,lennart,src/shared/linux/auto_dev-ioctl.h
2010-04-17,2013-11-17,lennart,src/core/automount.c
2010-04-18,2013-05-21,lennart,src/core/dbus-target.c
2010-04-18,2013-12-30,lennart,src/core/dbus-mount.h
2010-04-18,2014-01-01,lennart,src/core/dbus-socket.h
2010-04-18,2014-05-19,lennart,src/core/dbus-device.h
2010-04-18,2014-05-19,lennart,src/core/dbus-target.h
2010-04-18,2014-12-23,lennart,src/core/dbus-service.h
2010-04-18,2015-11-22,lennart,src/core/dbus-manager.h
2010-04-21,2012-12-28,lennart,src/shared/fdset.c
2010-04-21,2014-02-17,lennart,src/shared/fdset.h
2010-04-22,2016-01-24,lennart,src/test/test-ns.c
2010-05-10,2013-07-12,lennart,src/shared/loopback-setup.h
2010-05-10,2013-08-11,m.b.lankhorst,src/core/dbus-swap.h
2010-05-10,2013-08-17,lennart,src/test/test-loopback.c
2010-05-17,2012-02-12,lennart,units/multi-user.target
2010-05-17,2012-03-13,lennart,units/rpcbind.target
2010-05-17,2012-04-02,lennart,units/remote-fs.target
2010-05-17,2012-04-05,lennart,units/rescue.target
2010-05-17,2012-04-25,lennart,units/nss-lookup.target
2010-05-17,2012-05-11,lennart,units/sigpwr.target
2010-05-17,2012-06-09,lennart,units/getty.target
2010-05-17,2012-06-17,lennart,units/graphical.target
2010-05-17,2012-06-24,lennart,units/halt.target
2010-05-17,2012-09-15,lennart,units/poweroff.target
2010-05-17,2012-09-15,lennart,units/reboot.target
2010-05-17,2012-11-13,lennart,units/emergency.service.in
