DATE(MODE),DATE(MEAN),AUTHOR,PATH
2003-11-14,2004-12-21,greg,src/udev/scsi_id/README
2003-11-14,2006-01-03,greg,src/udev/scsi_id/scsi.h
2003-11-14,2007-12-07,greg,src/udev/scsi_id/scsi_serial.c
2003-11-14,2010-11-19,greg,src/udev/scsi_id/scsi_id.c
2003-12-08,2007-12-19,patmans,src/udev/scsi_id/scsi_id.h
2005-08-30,2015-04-04,kay,man/systemd-udevd.service.xml
2005-08-31,2011-10-23,kay,man/udev.xml
2007-08-10,2015-10-28,kay,rules.d/50-udev-default.rules.in
2007-11-09,2016-10-09,kay,man/udevadm.xml
2008-06-27,2011-11-01,kay,rules.d/60-persistent-v4l.rules
2008-08-28,2011-09-22,kay,src/libudev/libudev.c
2008-10-27,2013-03-18,lennart,src/nss-myhostname/nss-myhostname.c
2008-11-06,2011-06-19,kay,src/libudev/libudev-util.c
2009-04-26,2010-07-30,kay,src/libudev/libudev.h
2009-06-16,2012-11-07,kay,src/libudev/libudev-queue.c
2009-06-16,2013-04-07,kay,src/libudev/libudev-monitor.c
2009-06-17,2010-08-18,lennart,rules.d/78-sound-card.rules
2009-06-17,2011-01-01,lennart,rules.d/60-persistent-alsa.rules
2009-06-17,2012-06-20,dcbw,rules.d/75-net-description.rules
2009-06-17,2016-05-09,zbyszek,src/udev/v4l_id/v4l_id.c
2009-11-05,2014-01-27,zbyszek,src/udev/ata_id/ata_id.c
2009-11-18,2016-09-22,lennart,src/basic/list.h
2009-11-19,2017-01-01,lennart,src/shared/conf-parser.c
2009-11-20,2016-04-19,lennart,src/core/load-fragment.c
2009-12-01,2012-06-08,kay,rules.d/60-persistent-input.rules
2010-01-21,2013-01-12,lennart,test/units/d.service
2010-01-21,2013-01-12,lennart,test/units/e.service
2010-01-23,2012-11-10,lennart,src/core/automount.h
2010-01-23,2014-01-12,lennart,src/core/socket.h
2010-01-23,2015-08-28,lennart,src/core/service.h
2010-01-23,2015-09-13,lennart,src/core/device.h
2010-01-23,2016-01-17,zbyszek,src/core/load-dropin.h
2010-01-26,2015-11-05,lennart,src/core/socket.c
2010-01-26,2017-04-21,lennart,src/core/service.c
2010-01-27,2013-02-10,lennart,src/core/target.h
2010-01-27,2017-08-03,lennart,src/core/unit.h
2010-01-27,2018-06-19,lennart,src/core/unit.c
2010-01-29,2017-07-11,lennart,src/basic/ratelimit.h
2010-02-01,2015-11-24,lennart,src/core/dbus.h
2010-02-03,2010-02-03,lennart,LICENSE.GPL2
2010-04-05,2010-09-06,lennart,src/shared/initreq.h
2010-04-05,2013-06-16,lennart,src/initctl/initctl.c
2010-04-11,2013-02-19,lennart,src/shared/utmp-wtmp.c
2010-04-11,2013-05-12,lennart,src/core/org.freedesktop.systemd1.conf
2010-04-11,2014-04-12,lennart,src/core/mount.h
2010-04-11,2014-08-22,lennart,src/shared/mount-setup.h
2010-04-11,2017-01-21,lennart,src/core/mount.c
2010-04-15,2018-12-12,lennart,src/shared/specifier.c
2010-04-17,2010-12-16,lennart,src/shared/linux/auto_dev-ioctl.h
2010-04-17,2014-08-30,lennart,src/core/automount.c
2010-04-18,2013-05-21,lennart,src/core/dbus-target.c
2010-04-18,2013-12-30,lennart,src/core/dbus-mount.h
2010-04-18,2014-01-01,lennart,src/core/dbus-socket.h
2010-04-18,2014-05-19,lennart,src/core/dbus-device.h
2010-04-18,2014-05-19,lennart,src/core/dbus-target.h
2010-04-18,2015-07-12,lennart,src/core/dbus-service.h
2010-04-18,2015-11-22,lennart,src/core/dbus-manager.h
2010-04-21,2014-02-17,lennart,src/core/target.c
2010-04-21,2014-11-21,lennart,src/shared/fdset.h
2010-04-21,2017-05-20,lennart,src/shared/fdset.c
2010-05-10,2013-07-12,lennart,src/shared/loopback-setup.h
2010-05-10,2013-08-11,m.b.lankhorst,src/core/dbus-swap.h
2010-05-17,2012-02-12,lennart,units/multi-user.target
2010-05-17,2012-03-13,lennart,units/rpcbind.target
2010-05-17,2012-04-02,lennart,units/remote-fs.target
2010-05-17,2012-04-05,lennart,units/rescue.target
2010-05-17,2012-04-25,lennart,units/nss-lookup.target
2010-05-17,2012-05-11,lennart,units/sigpwr.target
2010-05-17,2012-06-17,lennart,units/graphical.target
2010-05-17,2012-09-15,lennart,units/poweroff.target
2010-05-17,2012-09-15,lennart,units/reboot.target
2010-05-17,2012-11-27,lennart,units/shutdown.target
2010-05-17,2013-01-11,lennart,units/emergency.service.in
2010-05-17,2013-02-19,lennart,units/systemd-initctl.socket
2010-05-17,2013-04-02,lennart,units/getty.target
2010-05-17,2013-04-09,lennart,units/time-sync.target
2010-05-17,2013-04-14,lennart,units/sockets.target
2010-05-17,2013-04-14,lennart,units/swap.target
2010-05-17,2013-04-21,lennart,units/network.target
2010-05-17,2013-08-12,lennart,units/halt.target
2010-05-17,2013-09-25,lennart,units/basic.target
2010-05-17,2013-12-22,lennart,units/systemd-initctl.service.in
2010-05-17,2014-02-17,lennart,units/local-fs.target
2010-05-17,2014-04-17,lennart,units/getty@.service.in
2010-05-17,2014-07-22,lennart,units/rc-local.service.in
2010-05-17,2014-10-29,lennart,units/sysinit.target
2010-05-17,2016-08-05,lennart,man/systemd.special.xml
2010-05-18,2012-10-12,lennart,units/dev-mqueue.mount
2010-05-18,2013-06-15,lennart,units/sys-kernel-debug.mount
2010-05-18,2013-06-27,lennart,units/dev-hugepages.mount
2010-05-18,2014-01-19,lennart,units/proc-sys-fs-binfmt_misc.automount
2010-05-18,2014-01-26,lennart,units/proc-sys-fs-binfmt_misc.mount
2010-05-20,2013-03-25,lennart,units/user/default.target
2010-05-20,2015-10-03,lennart,src/libsystemd/sd-daemon/sd-daemon.c
2010-05-22,2013-07-18,lennart,src/core/kmod-setup.h
2010-05-24,2013-09-16,lennart,src/core/path.h
2010-05-24,2014-03-15,lennart,src/core/timer.h
2010-05-24,2014-11-29,lennart,src/core/dbus-timer.h
2010-05-24,2016-02-07,lennart,src/core/timer.c
2010-05-24,2016-05-04,lennart,src/core/path.c
2010-06-03,2013-05-28,lennart,test/units/a.service
2010-06-03,2013-11-19,lennart,test/units/b.service
2010-06-03,2013-11-19,lennart,test/units/c.service
2010-06-03,2013-11-19,lennart,test/units/g.service
2010-06-03,2013-11-19,lennart,test/units/h.service
2010-06-03,2014-07-09,lennart,test/units/f.service
2010-06-16,2013-06-22,teg,units/systemd-halt.service
2010-06-16,2013-09-28,teg,units/systemd-poweroff.service
2010-06-16,2013-09-28,teg,units/systemd-reboot.service
2010-06-16,2015-11-18,lennart,src/test/test-daemon.c
2010-06-18,2014-02-09,lennart,src/basic/special.h
2010-06-22,2013-02-15,lennart,src/systemd/sd-daemon.h
2010-06-23,2012-07-18,lennart,man/sd_booted.xml
2010-06-23,2013-09-24,lennart,man/runlevel.xml
2010-06-23,2014-03-16,lennart,man/sd_is_fifo.xml
2010-06-23,2014-03-18,lennart,man/sd-daemon.xml
2010-06-23,2019-02-28,lennart,man/sd_notify.xml
2010-06-24,2010-09-11,maximlevitsky,rules.d/75-probe_mtd.rules
2010-06-24,2011-06-21,maximlevitsky,src/udev/mtd_probe/mtd_probe.h
2010-06-24,2012-04-01,lennart,man/telinit.xml
2010-06-24,2012-11-29,maximlevitsky,src/udev/mtd_probe/probe_smartmedia.c
2010-06-24,2014-02-11,lennart,man/shutdown.xml
2010-06-24,2015-06-28,lennart,man/poweroff.xml
2010-06-24,2017-09-26,lennart,man/pam_systemd.xml
