DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2016-12-14	2016-12-14	Chatura Dilan	.gitignore
2017-04-13	2017-04-13	Charitha Goonetilleke	README.md
2016-06-08	2016-04-30	Kasun Delgolla	app-catalog/.gitignore
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/.gitignore
2016-05-05	2016-04-30	Kasun Delgolla	app-catalog/app/build.gradle
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/proguard-rules.pro
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/src/androidTest/java/org/wso2/app/catalog/ApplicationTest.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/AndroidManifest.xml
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/AppCatalogException.java
2016-06-03	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/AppDetailsActivity.java
2016-05-09	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/AppListActivity.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/LoginActivity.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/ReadMoreInfoActivity.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/ServerDetails.java
2016-06-02	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/adapters/ApplicationAdapter.java
2016-05-01	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/api/ApplicationManager.java
2016-05-12	2016-05-12	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/api/InputStreamVolleyRequest.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/beans/Application.java
2016-04-30	2016-04-30	Kasun Delgolla	app-catalog/app/src/main/java/org/wso2/app/catalog/beans/DeviceAppInfo.java
